No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2005/1/4,902,9,0,2
2,2005/1/5,227,2,2,7
3,2005/1/6,429,4,2,9
4,2005/1/7,784,7,8,4
5,2005/1/10,576,5,7,6
6,2005/1/11,55,0,5,5
7,2005/1/12,275,2,7,5
8,2005/1/13,137,1,3,7
9,2005/1/14,536,5,3,6
10,2005/1/17,809,8,0,9
11,2005/1/18,328,3,2,8
12,2005/1/19,423,4,2,3
13,2005/1/20,780,7,8,0
14,2005/1/21,26,0,2,6
15,2005/1/24,369,3,6,9
16,2005/1/25,526,5,2,6
17,2005/1/26,465,4,6,5
18,2005/1/27,968,9,6,8
19,2005/1/28,218,2,1,8
20,2005/1/31,807,8,0,7
21,2005/2/1,287,2,8,7
22,2005/2/2,997,9,9,7
23,2005/2/3,313,3,1,3
24,2005/2/4,800,8,0,0
25,2005/2/7,601,6,0,1
26,2005/2/8,742,7,4,2
27,2005/2/9,738,7,3,8
28,2005/2/10,754,7,5,4
29,2005/2/11,196,1,9,6
30,2005/2/14,453,4,5,3
31,2005/2/15,793,7,9,3
32,2005/2/16,556,5,5,6
33,2005/2/17,533,5,3,3
34,2005/2/18,58,0,5,8
35,2005/2/21,419,4,1,9
36,2005/2/22,63,0,6,3
37,2005/2/23,379,3,7,9
38,2005/2/24,928,9,2,8
39,2005/2/25,613,6,1,3
40,2005/2/28,917,9,1,7
41,2005/3/1,212,2,1,2
42,2005/3/2,887,8,8,7
43,2005/3/3,970,9,7,0
44,2005/3/4,707,7,0,7
45,2005/3/7,412,4,1,2
46,2005/3/8,603,6,0,3
47,2005/3/9,578,5,7,8
48,2005/3/10,266,2,6,6
49,2005/3/11,384,3,8,4
50,2005/3/14,680,6,8,0
51,2005/3/15,87,0,8,7
52,2005/3/16,776,7,7,6
53,2005/3/17,387,3,8,7
54,2005/3/18,319,3,1,9
55,2005/3/21,729,7,2,9
56,2005/3/22,963,9,6,3
57,2005/3/23,751,7,5,1
58,2005/3/24,948,9,4,8
59,2005/3/25,235,2,3,5
60,2005/3/28,686,6,8,6
61,2005/3/29,857,8,5,7
62,2005/3/30,786,7,8,6
63,2005/3/31,716,7,1,6
64,2005/4/1,84,0,8,4
65,2005/4/4,567,5,6,7
66,2005/4/5,414,4,1,4
67,2005/4/6,482,4,8,2
68,2005/4/7,507,5,0,7
69,2005/4/8,215,2,1,5
70,2005/4/11,350,3,5,0
71,2005/4/12,776,7,7,6
72,2005/4/13,43,0,4,3
73,2005/4/14,400,4,0,0
74,2005/4/15,190,1,9,0
75,2005/4/18,629,6,2,9
76,2005/4/19,841,8,4,1
77,2005/4/20,73,0,7,3
78,2005/4/21,942,9,4,2
79,2005/4/22,203,2,0,3
80,2005/4/25,560,5,6,0
81,2005/4/26,788,7,8,8
82,2005/4/27,530,5,3,0
83,2005/4/28,178,1,7,8
84,2005/4/29,589,5,8,9
85,2005/5/2,459,4,5,9
86,2005/5/3,250,2,5,0
87,2005/5/4,222,2,2,2
88,2005/5/5,781,7,8,1
89,2005/5/6,614,6,1,4
90,2005/5/9,973,9,7,3
91,2005/5/10,378,3,7,8
92,2005/5/11,453,4,5,3
93,2005/5/12,542,5,4,2
94,2005/5/13,241,2,4,1
95,2005/5/16,565,5,6,5
96,2005/5/17,182,1,8,2
97,2005/5/18,16,0,1,6
98,2005/5/19,204,2,0,4
99,2005/5/20,529,5,2,9
100,2005/5/23,827,8,2,7
101,2005/5/24,660,6,6,0
102,2005/5/25,597,5,9,7
103,2005/5/26,917,9,1,7
104,2005/5/27,835,8,3,5
105,2005/5/30,659,6,5,9
106,2005/5/31,392,3,9,2
107,2005/6/1,634,6,3,4
108,2005/6/2,363,3,6,3
109,2005/6/3,327,3,2,7
110,2005/6/6,42,0,4,2
111,2005/6/7,100,1,0,0
112,2005/6/8,920,9,2,0
113,2005/6/9,287,2,8,7
114,2005/6/10,217,2,1,7
115,2005/6/13,709,7,0,9
116,2005/6/14,885,8,8,5
117,2005/6/15,368,3,6,8
118,2005/6/16,769,7,6,9
119,2005/6/17,351,3,5,1
120,2005/6/20,97,0,9,7
121,2005/6/21,671,6,7,1
122,2005/6/22,402,4,0,2
123,2005/6/23,378,3,7,8
124,2005/6/24,377,3,7,7
125,2005/6/27,65,0,6,5
126,2005/6/28,95,0,9,5
127,2005/6/29,747,7,4,7
128,2005/6/30,395,3,9,5
129,2005/7/1,332,3,3,2
130,2005/7/4,146,1,4,6
131,2005/7/5,899,8,9,9
132,2005/7/6,885,8,8,5
133,2005/7/7,762,7,6,2
134,2005/7/8,382,3,8,2
135,2005/7/11,964,9,6,4
136,2005/7/12,312,3,1,2
137,2005/7/13,382,3,8,2
138,2005/7/14,318,3,1,8
139,2005/7/15,430,4,3,0
140,2005/7/18,922,9,2,2
141,2005/7/19,441,4,4,1
142,2005/7/20,261,2,6,1
143,2005/7/21,465,4,6,5
144,2005/7/22,861,8,6,1
145,2005/7/25,448,4,4,8
146,2005/7/26,347,3,4,7
147,2005/7/27,726,7,2,6
148,2005/7/28,720,7,2,0
149,2005/7/29,319,3,1,9
150,2005/8/1,424,4,2,4
151,2005/8/2,482,4,8,2
152,2005/8/3,943,9,4,3
153,2005/8/4,934,9,3,4
154,2005/8/5,977,9,7,7
155,2005/8/8,929,9,2,9
156,2005/8/9,168,1,6,8
157,2005/8/10,368,3,6,8
158,2005/8/11,607,6,0,7
159,2005/8/12,660,6,6,0
160,2005/8/15,626,6,2,6
161,2005/8/16,755,7,5,5
162,2005/8/17,486,4,8,6
163,2005/8/18,868,8,6,8
164,2005/8/19,77,0,7,7
165,2005/8/22,509,5,0,9
166,2005/8/23,980,9,8,0
167,2005/8/24,644,6,4,4
168,2005/8/25,451,4,5,1
169,2005/8/26,501,5,0,1
