No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2003/1/6,739,7,3,9
2,2003/1/8,904,9,0,4
3,2003/1/10,850,8,5,0
4,2003/1/13,417,4,1,7
5,2003/1/15,735,7,3,5
6,2003/1/17,685,6,8,5
7,2003/1/20,703,7,0,3
8,2003/1/22,409,4,0,9
9,2003/1/24,718,7,1,8
10,2003/1/27,816,8,1,6
11,2003/1/29,264,2,6,4
12,2003/1/31,789,7,8,9
13,2003/2/3,996,9,9,6
14,2003/2/5,702,7,0,2
15,2003/2/7,687,6,8,7
16,2003/2/10,818,8,1,8
17,2003/2/12,820,8,2,0
18,2003/2/14,361,3,6,1
19,2003/2/17,554,5,5,4
20,2003/2/19,956,9,5,6
21,2003/2/21,264,2,6,4
22,2003/2/24,36,0,3,6
23,2003/2/26,210,2,1,0
24,2003/2/28,418,4,1,8
25,2003/3/3,36,0,3,6
26,2003/3/5,251,2,5,1
27,2003/3/7,887,8,8,7
28,2003/3/10,410,4,1,0
29,2003/3/12,233,2,3,3
30,2003/3/14,250,2,5,0
31,2003/3/17,72,0,7,2
32,2003/3/19,757,7,5,7
33,2003/3/21,917,9,1,7
34,2003/3/24,540,5,4,0
35,2003/3/26,129,1,2,9
36,2003/3/28,999,9,9,9
37,2003/3/31,126,1,2,6
38,2003/4/2,442,4,4,2
39,2003/4/4,428,4,2,8
40,2003/4/7,16,0,1,6
41,2003/4/9,511,5,1,1
42,2003/4/11,831,8,3,1
43,2003/4/14,714,7,1,4
44,2003/4/16,177,1,7,7
45,2003/4/18,687,6,8,7
46,2003/4/21,142,1,4,2
47,2003/4/23,309,3,0,9
48,2003/4/25,198,1,9,8
49,2003/4/28,41,0,4,1
50,2003/4/30,971,9,7,1
51,2003/5/2,806,8,0,6
52,2003/5/5,831,8,3,1
53,2003/5/7,577,5,7,7
54,2003/5/9,366,3,6,6
55,2003/5/12,990,9,9,0
56,2003/5/14,835,8,3,5
57,2003/5/16,644,6,4,4
58,2003/5/19,254,2,5,4
59,2003/5/21,183,1,8,3
60,2003/5/23,280,2,8,0
61,2003/5/26,400,4,0,0
62,2003/5/28,617,6,1,7
63,2003/5/30,581,5,8,1
64,2003/6/2,20,0,2,0
65,2003/6/4,271,2,7,1
66,2003/6/6,170,1,7,0
67,2003/6/9,493,4,9,3
68,2003/6/11,608,6,0,8
69,2003/6/13,441,4,4,1
70,2003/6/16,996,9,9,6
71,2003/6/18,889,8,8,9
72,2003/6/20,44,0,4,4
73,2003/6/23,346,3,4,6
74,2003/6/25,903,9,0,3
75,2003/6/27,609,6,0,9
76,2003/6/30,749,7,4,9
77,2003/7/2,342,3,4,2
78,2003/7/4,422,4,2,2
79,2003/7/7,184,1,8,4
80,2003/7/9,865,8,6,5
81,2003/7/11,463,4,6,3
82,2003/7/14,556,5,5,6
83,2003/7/16,269,2,6,9
84,2003/7/18,664,6,6,4
85,2003/7/21,686,6,8,6
86,2003/7/23,438,4,3,8
87,2003/7/25,416,4,1,6
88,2003/7/28,897,8,9,7
89,2003/7/30,695,6,9,5
90,2003/8/1,547,5,4,7
91,2003/8/4,152,1,5,2
92,2003/8/6,944,9,4,4
93,2003/8/8,957,9,5,7
94,2003/8/11,459,4,5,9
95,2003/8/13,989,9,8,9
96,2003/8/15,820,8,2,0
97,2003/8/18,766,7,6,6
98,2003/8/20,943,9,4,3
99,2003/8/22,958,9,5,8
100,2003/8/25,160,1,6,0
101,2003/8/27,612,6,1,2
102,2003/8/29,162,1,6,2
103,2003/9/1,304,3,0,4
104,2003/9/3,638,6,3,8
105,2003/9/5,415,4,1,5
106,2003/9/8,911,9,1,1
107,2003/9/10,979,9,7,9
108,2003/9/12,221,2,2,1
109,2003/9/15,279,2,7,9
110,2003/9/17,933,9,3,3
111,2003/9/19,825,8,2,5
112,2003/9/22,118,1,1,8
113,2003/9/24,496,4,9,6
114,2003/9/26,267,2,6,7
115,2003/9/29,784,7,8,4
116,2003/10/1,495,4,9,5
117,2003/10/3,913,9,1,3
118,2003/10/6,337,3,3,7
119,2003/10/8,953,9,5,3
120,2003/10/10,899,8,9,9
121,2003/10/13,842,8,4,2
122,2003/10/15,274,2,7,4
123,2003/10/17,260,2,6,0
124,2003/10/20,317,3,1,7
125,2003/10/22,738,7,3,8
126,2003/10/24,796,7,9,6
127,2003/10/27,235,2,3,5
128,2003/10/29,885,8,8,5
129,2003/10/31,852,8,5,2
130,2003/11/3,891,8,9,1
131,2003/11/5,348,3,4,8
132,2003/11/7,798,7,9,8
133,2003/11/10,930,9,3,0
134,2003/11/12,175,1,7,5
135,2003/11/14,622,6,2,2
136,2003/11/17,651,6,5,1
137,2003/11/19,704,7,0,4
138,2003/11/21,518,5,1,8
139,2003/11/24,54,0,5,4
140,2003/11/26,504,5,0,4
141,2003/11/28,455,4,5,5
142,2003/12/1,276,2,7,6
143,2003/12/3,106,1,0,6
144,2003/12/5,936,9,3,6
145,2003/12/8,353,3,5,3
146,2003/12/10,58,0,5,8
147,2003/12/12,958,9,5,8
148,2003/12/15,80,0,8,0
149,2003/12/17,239,2,3,9
150,2003/12/19,188,1,8,8
151,2003/12/22,606,6,0,6
152,2003/12/24,21,0,2,1
153,2003/12/26,724,7,2,4
154,2003/12/29,471,4,7,1
