No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,1999/1/4,634,6,3,4
2,1999/1/6,995,9,9,5
3,1999/1/8,931,9,3,1
4,1999/1/11,385,3,8,5
5,1999/1/13,153,1,5,3
6,1999/1/15,827,8,2,7
7,1999/1/18,28,0,2,8
8,1999/1/20,595,5,9,5
9,1999/1/22,211,2,1,1
10,1999/1/25,12,0,1,2
11,1999/1/27,679,6,7,9
12,1999/1/29,640,6,4,0
13,1999/2/1,929,9,2,9
14,1999/2/3,782,7,8,2
15,1999/2/5,947,9,4,7
16,1999/2/8,480,4,8,0
17,1999/2/10,993,9,9,3
18,1999/2/12,172,1,7,2
19,1999/2/15,295,2,9,5
20,1999/2/17,831,8,3,1
21,1999/2/19,253,2,5,3
22,1999/2/22,914,9,1,4
23,1999/2/24,947,9,4,7
24,1999/2/26,900,9,0,0
25,1999/3/1,122,1,2,2
26,1999/3/3,286,2,8,6
27,1999/3/5,583,5,8,3
28,1999/3/8,287,2,8,7
29,1999/3/10,402,4,0,2
30,1999/3/12,658,6,5,8
31,1999/3/15,493,4,9,3
32,1999/3/17,535,5,3,5
33,1999/3/19,73,0,7,3
34,1999/3/22,532,5,3,2
35,1999/3/24,36,0,3,6
36,1999/3/26,919,9,1,9
37,1999/3/29,357,3,5,7
38,1999/3/31,593,5,9,3
39,1999/4/2,743,7,4,3
40,1999/4/5,413,4,1,3
41,1999/4/7,719,7,1,9
42,1999/4/9,835,8,3,5
43,1999/4/12,277,2,7,7
44,1999/4/14,200,2,0,0
45,1999/4/16,432,4,3,2
46,1999/4/19,205,2,0,5
47,1999/4/21,951,9,5,1
48,1999/4/23,998,9,9,8
49,1999/4/26,628,6,2,8
50,1999/4/28,435,4,3,5
51,1999/4/30,154,1,5,4
52,1999/5/3,33,0,3,3
53,1999/5/5,614,6,1,4
54,1999/5/7,362,3,6,2
55,1999/5/10,269,2,6,9
56,1999/5/12,838,8,3,8
57,1999/5/14,98,0,9,8
58,1999/5/17,806,8,0,6
59,1999/5/19,411,4,1,1
60,1999/5/21,450,4,5,0
61,1999/5/24,666,6,6,6
62,1999/5/26,300,3,0,0
63,1999/5/28,993,9,9,3
64,1999/5/31,19,0,1,9
65,1999/6/2,355,3,5,5
66,1999/6/4,602,6,0,2
67,1999/6/7,331,3,3,1
68,1999/6/9,443,4,4,3
69,1999/6/11,666,6,6,6
70,1999/6/14,297,2,9,7
71,1999/6/16,57,0,5,7
72,1999/6/18,190,1,9,0
73,1999/6/21,382,3,8,2
74,1999/6/23,80,0,8,0
75,1999/6/25,732,7,3,2
76,1999/6/28,982,9,8,2
77,1999/6/30,906,9,0,6
78,1999/7/2,433,4,3,3
79,1999/7/5,953,9,5,3
80,1999/7/7,49,0,4,9
81,1999/7/9,587,5,8,7
82,1999/7/12,798,7,9,8
83,1999/7/14,731,7,3,1
84,1999/7/16,597,5,9,7
85,1999/7/19,910,9,1,0
86,1999/7/21,939,9,3,9
87,1999/7/23,487,4,8,7
88,1999/7/26,228,2,2,8
89,1999/7/28,398,3,9,8
90,1999/7/30,588,5,8,8
91,1999/8/2,385,3,8,5
92,1999/8/4,160,1,6,0
93,1999/8/6,315,3,1,5
94,1999/8/9,850,8,5,0
95,1999/8/11,85,0,8,5
96,1999/8/13,365,3,6,5
97,1999/8/16,207,2,0,7
98,1999/8/18,569,5,6,9
99,1999/8/20,652,6,5,2
100,1999/8/23,485,4,8,5
101,1999/8/25,947,9,4,7
102,1999/8/27,46,0,4,6
103,1999/8/30,36,0,3,6
104,1999/9/1,829,8,2,9
105,1999/9/3,130,1,3,0
106,1999/9/6,162,1,6,2
107,1999/9/8,193,1,9,3
108,1999/9/10,429,4,2,9
109,1999/9/13,306,3,0,6
110,1999/9/15,554,5,5,4
111,1999/9/17,752,7,5,2
112,1999/9/20,421,4,2,1
113,1999/9/22,979,9,7,9
114,1999/9/24,699,6,9,9
115,1999/9/27,939,9,3,9
116,1999/9/29,30,0,3,0
117,1999/10/1,638,6,3,8
118,1999/10/4,405,4,0,5
119,1999/10/6,964,9,6,4
120,1999/10/8,178,1,7,8
121,1999/10/11,337,3,3,7
122,1999/10/13,801,8,0,1
123,1999/10/15,730,7,3,0
124,1999/10/18,591,5,9,1
125,1999/10/20,369,3,6,9
126,1999/10/22,142,1,4,2
127,1999/10/25,475,4,7,5
128,1999/10/27,92,0,9,2
129,1999/10/29,279,2,7,9
130,1999/11/1,567,5,6,7
131,1999/11/3,866,8,6,6
132,1999/11/5,44,0,4,4
133,1999/11/8,639,6,3,9
134,1999/11/10,308,3,0,8
135,1999/11/12,675,6,7,5
136,1999/11/15,546,5,4,6
137,1999/11/17,588,5,8,8
138,1999/11/19,472,4,7,2
139,1999/11/22,201,2,0,1
140,1999/11/24,118,1,1,8
141,1999/11/26,223,2,2,3
142,1999/11/29,194,1,9,4
143,1999/12/1,182,1,8,2
144,1999/12/3,446,4,4,6
145,1999/12/6,382,3,8,2
146,1999/12/8,669,6,6,9
147,1999/12/10,403,4,0,3
148,1999/12/13,633,6,3,3
149,1999/12/15,951,9,5,1
150,1999/12/17,783,7,8,3
151,1999/12/20,908,9,0,8
152,1999/12/22,636,6,3,6
153,1999/12/24,433,4,3,3
154,1999/12/27,364,3,6,4
155,1999/12/29,949,9,4,9
