No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2007/1/4,90,0,9,0
2,2007/1/5,942,9,4,2
3,2007/1/8,726,7,2,6
4,2007/1/9,522,5,2,2
5,2007/1/10,949,9,4,9
6,2007/1/11,438,4,3,8
7,2007/1/12,305,3,0,5
8,2007/1/15,847,8,4,7
9,2007/1/16,581,5,8,1
10,2007/1/17,908,9,0,8
11,2007/1/18,580,5,8,0
12,2007/1/19,900,9,0,0
13,2007/1/22,440,4,4,0
14,2007/1/23,325,3,2,5
15,2007/1/24,567,5,6,7
16,2007/1/25,537,5,3,7
17,2007/1/26,810,8,1,0
18,2007/1/29,525,5,2,5
19,2007/1/30,574,5,7,4
20,2007/1/31,311,3,1,1
21,2007/2/1,624,6,2,4
22,2007/2/2,594,5,9,4
23,2007/2/5,412,4,1,2
24,2007/2/6,815,8,1,5
25,2007/2/7,539,5,3,9
26,2007/2/8,874,8,7,4
27,2007/2/9,8,0,0,8
28,2007/2/12,842,8,4,2
29,2007/2/13,268,2,6,8
30,2007/2/14,315,3,1,5
31,2007/2/15,453,4,5,3
32,2007/2/16,519,5,1,9
33,2007/2/19,449,4,4,9
34,2007/2/20,27,0,2,7
35,2007/2/21,240,2,4,0
36,2007/2/22,705,7,0,5
37,2007/2/23,939,9,3,9
38,2007/2/26,964,9,6,4
39,2007/2/27,160,1,6,0
40,2007/2/28,172,1,7,2
41,2007/3/1,378,3,7,8
42,2007/3/2,308,3,0,8
43,2007/3/5,321,3,2,1
44,2007/3/6,477,4,7,7
45,2007/3/7,974,9,7,4
46,2007/3/8,417,4,1,7
47,2007/3/9,938,9,3,8
48,2007/3/12,415,4,1,5
49,2007/3/13,403,4,0,3
50,2007/3/14,971,9,7,1
51,2007/3/15,977,9,7,7
52,2007/3/16,231,2,3,1
53,2007/3/19,732,7,3,2
54,2007/3/20,149,1,4,9
55,2007/3/21,550,5,5,0
56,2007/3/22,334,3,3,4
57,2007/3/23,34,0,3,4
58,2007/3/26,632,6,3,2
59,2007/3/27,707,7,0,7
60,2007/3/28,1,0,0,1
61,2007/3/29,984,9,8,4
62,2007/3/30,771,7,7,1
63,2007/4/2,746,7,4,6
64,2007/4/3,330,3,3,0
65,2007/4/4,121,1,2,1
66,2007/4/5,368,3,6,8
67,2007/4/6,379,3,7,9
68,2007/4/9,266,2,6,6
69,2007/4/10,646,6,4,6
70,2007/4/11,165,1,6,5
71,2007/4/12,715,7,1,5
72,2007/4/13,183,1,8,3
73,2007/4/16,223,2,2,3
74,2007/4/17,974,9,7,4
75,2007/4/18,621,6,2,1
76,2007/4/19,519,5,1,9
77,2007/4/20,926,9,2,6
78,2007/4/23,301,3,0,1
79,2007/4/24,456,4,5,6
80,2007/4/25,123,1,2,3
81,2007/4/26,157,1,5,7
82,2007/4/27,306,3,0,6
83,2007/4/30,701,7,0,1
84,2007/5/1,654,6,5,4
85,2007/5/2,399,3,9,9
86,2007/5/3,231,2,3,1
87,2007/5/4,172,1,7,2
88,2007/5/7,302,3,0,2
89,2007/5/8,827,8,2,7
90,2007/5/9,936,9,3,6
91,2007/5/10,466,4,6,6
92,2007/5/11,725,7,2,5
93,2007/5/14,594,5,9,4
94,2007/5/15,716,7,1,6
95,2007/5/16,178,1,7,8
96,2007/5/17,544,5,4,4
97,2007/5/18,826,8,2,6
98,2007/5/21,522,5,2,2
99,2007/5/22,803,8,0,3
100,2007/5/23,821,8,2,1
101,2007/5/24,407,4,0,7
102,2007/5/25,353,3,5,3
103,2007/5/28,642,6,4,2
104,2007/5/29,428,4,2,8
105,2007/5/30,156,1,5,6
106,2007/5/31,386,3,8,6
107,2007/6/1,392,3,9,2
108,2007/6/4,242,2,4,2
109,2007/6/5,556,5,5,6
110,2007/6/6,45,0,4,5
111,2007/6/7,405,4,0,5
112,2007/6/8,32,0,3,2
113,2007/6/11,642,6,4,2
114,2007/6/12,135,1,3,5
115,2007/6/13,560,5,6,0
116,2007/6/14,989,9,8,9
117,2007/6/15,236,2,3,6
118,2007/6/18,222,2,2,2
119,2007/6/19,584,5,8,4
120,2007/6/20,791,7,9,1
121,2007/6/21,106,1,0,6
122,2007/6/22,757,7,5,7
123,2007/6/25,859,8,5,9
124,2007/6/26,925,9,2,5
125,2007/6/27,482,4,8,2
126,2007/6/28,278,2,7,8
127,2007/6/29,453,4,5,3
128,2007/7/2,447,4,4,7
129,2007/7/3,656,6,5,6
130,2007/7/4,12,0,1,2
131,2007/7/5,55,0,5,5
132,2007/7/6,128,1,2,8
133,2007/7/9,591,5,9,1
134,2007/7/10,170,1,7,0
135,2007/7/11,778,7,7,8
136,2007/7/12,586,5,8,6
137,2007/7/13,867,8,6,7
138,2007/7/16,864,8,6,4
139,2007/7/17,398,3,9,8
140,2007/7/18,752,7,5,2
141,2007/7/19,600,6,0,0
142,2007/7/20,89,0,8,9
143,2007/7/23,857,8,5,7
144,2007/7/24,287,2,8,7
145,2007/7/25,938,9,3,8
146,2007/7/26,818,8,1,8
147,2007/7/27,391,3,9,1
148,2007/7/30,254,2,5,4
149,2007/7/31,971,9,7,1
150,2007/8/1,931,9,3,1
151,2007/8/2,498,4,9,8
152,2007/8/3,509,5,0,9
153,2007/8/6,318,3,1,8
154,2007/8/7,81,0,8,1
155,2007/8/8,112,1,1,2
156,2007/8/9,987,9,8,7
157,2007/8/10,189,1,8,9
158,2007/8/13,700,7,0,0
159,2007/8/14,35,0,3,5
160,2007/8/15,478,4,7,8
161,2007/8/16,822,8,2,2
162,2007/8/17,703,7,0,3
163,2007/8/20,975,9,7,5
164,2007/8/21,912,9,1,2
165,2007/8/22,730,7,3,0
166,2007/8/23,152,1,5,2
167,2007/8/24,830,8,3,0
168,2007/8/27,494,4,9,4
169,2007/8/28,239,2,3,9
170,2007/8/29,678,6,7,8
171,2007/8/30,585,5,8,5
172,2007/8/31,387,3,8,7
173,2007/9/3,353,3,5,3
174,2007/9/4,626,6,2,6
175,2007/9/5,677,6,7,7
176,2007/9/6,571,5,7,1
177,2007/9/7,150,1,5,0
178,2007/9/10,400,4,0,0
179,2007/9/11,92,0,9,2
180,2007/9/12,198,1,9,8
181,2007/9/13,169,1,6,9
182,2007/9/14,618,6,1,8
183,2007/9/17,755,7,5,5
184,2007/9/18,233,2,3,3
185,2007/9/19,673,6,7,3
186,2007/9/20,145,1,4,5
187,2007/9/21,461,4,6,1
188,2007/9/24,938,9,3,8
189,2007/9/25,762,7,6,2
190,2007/9/26,691,6,9,1
191,2007/9/27,842,8,4,2
192,2007/9/28,9,0,0,9
193,2007/10/1,644,6,4,4
194,2007/10/2,809,8,0,9
195,2007/10/3,958,9,5,8
196,2007/10/4,863,8,6,3
197,2007/10/5,236,2,3,6
198,2007/10/8,525,5,2,5
199,2007/10/9,744,7,4,4
200,2007/10/10,884,8,8,4
201,2007/10/11,785,7,8,5
202,2007/10/12,561,5,6,1
203,2007/10/15,278,2,7,8
204,2007/10/16,864,8,6,4
205,2007/10/17,757,7,5,7
206,2007/10/18,832,8,3,2
207,2007/10/19,966,9,6,6
208,2007/10/22,604,6,0,4
209,2007/10/23,171,1,7,1
210,2007/10/24,391,3,9,1
211,2007/10/25,614,6,1,4
212,2007/10/26,685,6,8,5
213,2007/10/29,130,1,3,0
214,2007/10/30,79,0,7,9
215,2007/10/31,675,6,7,5
216,2007/11/1,38,0,3,8
217,2007/11/2,254,2,5,4
218,2007/11/5,18,0,1,8
219,2007/11/6,928,9,2,8
220,2007/11/7,418,4,1,8
221,2007/11/8,955,9,5,5
