No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2018/1/4,858,8,5,8
2,2018/1/5,384,3,8,4
3,2018/1/8,976,9,7,6
4,2018/1/9,930,9,3,0
5,2018/1/10,634,6,3,4
6,2018/1/11,223,2,2,3
7,2018/1/12,413,4,1,3
8,2018/1/15,881,8,8,1
9,2018/1/16,368,3,6,8
10,2018/1/17,873,8,7,3
11,2018/1/18,916,9,1,6
12,2018/1/19,955,9,5,5
13,2018/1/22,122,1,2,2
14,2018/1/23,327,3,2,7
15,2018/1/24,92,0,9,2
16,2018/1/25,282,2,8,2
17,2018/1/26,956,9,5,6
18,2018/1/29,415,4,1,5
19,2018/1/30,432,4,3,2
20,2018/1/31,437,4,3,7
21,2018/2/1,546,5,4,6
22,2018/2/2,291,2,9,1
23,2018/2/5,461,4,6,1
24,2018/2/6,139,1,3,9
25,2018/2/7,138,1,3,8
26,2018/2/8,448,4,4,8
27,2018/2/9,936,9,3,6
28,2018/2/12,221,2,2,1
29,2018/2/13,876,8,7,6
30,2018/2/14,347,3,4,7
31,2018/2/15,631,6,3,1
32,2018/2/16,725,7,2,5
33,2018/2/19,949,9,4,9
34,2018/2/20,271,2,7,1
35,2018/2/21,545,5,4,5
36,2018/2/22,320,3,2,0
37,2018/2/23,60,0,6,0
38,2018/2/26,60,0,6,0
39,2018/2/27,350,3,5,0
40,2018/2/28,839,8,3,9
41,2018/3/1,382,3,8,2
42,2018/3/2,776,7,7,6
43,2018/3/5,411,4,1,1
44,2018/3/6,586,5,8,6
45,2018/3/7,45,0,4,5
46,2018/3/8,123,1,2,3
47,2018/3/9,720,7,2,0
48,2018/3/12,497,4,9,7
49,2018/3/13,243,2,4,3
50,2018/3/14,363,3,6,3
51,2018/3/15,236,2,3,6
52,2018/3/16,399,3,9,9
53,2018/3/19,217,2,1,7
54,2018/3/20,118,1,1,8
55,2018/3/21,486,4,8,6
56,2018/3/22,29,0,2,9
57,2018/3/23,900,9,0,0
58,2018/3/26,484,4,8,4
59,2018/3/27,905,9,0,5
60,2018/3/28,800,8,0,0
61,2018/3/29,339,3,3,9
62,2018/3/30,950,9,5,0
63,2018/4/2,684,6,8,4
64,2018/4/3,507,5,0,7
65,2018/4/4,750,7,5,0
66,2018/4/5,352,3,5,2
67,2018/4/6,516,5,1,6
68,2018/4/9,760,7,6,0
69,2018/4/10,16,0,1,6
70,2018/4/11,759,7,5,9
71,2018/4/12,196,1,9,6
72,2018/4/13,775,7,7,5
73,2018/4/16,118,1,1,8
74,2018/4/17,993,9,9,3
75,2018/4/18,984,9,8,4
76,2018/4/19,159,1,5,9
77,2018/4/20,955,9,5,5
78,2018/4/23,716,7,1,6
79,2018/4/24,936,9,3,6
80,2018/4/25,81,0,8,1
