id,place,receive_time,sensor_num,in1,out1,state1,in2,out2,state2
0,0001,2021-01-22 11:00:00.416,2,19030,16959,0,16986,18989,0
1,0001,2021-01-22 11:00:01.431,2,19030,16959,0,16986,18989,0
2,0001,2021-01-22 11:00:02.447,2,19030,16959,0,16986,18989,0
3,0001,2021-01-22 11:00:03.462,2,19030,16959,0,16986,18989,0
4,0001,2021-01-22 11:00:04.478,2,19030,16959,0,16986,18989,0
5,0001,2021-01-22 11:00:05.493,2,19030,16959,0,16986,18989,0
6,0001,2021-01-22 11:00:06.508,2,19030,16959,0,16986,18989,0
7,0001,2021-01-22 11:00:07.524,2,19030,16959,0,16986,18989,0
8,0001,2021-01-22 11:00:08.539,2,19030,16959,0,16986,18989,0
9,0001,2021-01-22 11:00:09.555,2,19030,16959,0,16986,18989,0
10,0001,2021-01-22 11:00:10.57,2,19030,16959,0,16986,18989,0
11,0001,2021-01-22 11:00:11.585,2,19030,16959,0,16986,18989,0
12,0001,2021-01-22 11:00:12.601,2,19030,16959,0,16986,18989,0
13,0001,2021-01-22 11:00:13.616,2,19030,16959,0,16986,18989,0
14,0001,2021-01-22 11:00:14.626,2,19030,16959,1,16986,18989,1
15,0001,2021-01-22 11:00:15.642,2,19030,16959,1,16986,18989,1
16,0001,2021-01-22 11:00:16.657,2,19030,16959,1,16986,18989,1
17,0001,2021-01-22 11:00:17.673,2,19030,16959,1,16986,18989,1
18,0001,2021-01-22 11:00:18.688,2,19030,16959,1,16986,18989,1
19,0001,2021-01-22 11:00:19.703,2,19030,16959,1,16986,18989,1
20,0001,2021-01-22 11:00:20.719,2,19030,16959,2,16986,18989,2
21,0001,2021-01-22 11:00:21.734,2,19030,16959,2,16986,18989,2
22,0001,2021-01-22 11:00:22.749,2,19030,16959,2,16986,18989,2
23,0001,2021-01-22 11:00:23.765,2,19030,16959,2,16986,18989,2
24,0001,2021-01-22 11:00:24.78,2,19030,16959,2,16986,18989,2
25,0001,2021-01-22 11:00:25.796,2,19031,16959,1,16986,18990,1
26,0001,2021-01-22 11:00:26.811,2,19031,16959,1,16986,18990,1
27,0001,2021-01-22 11:00:27.826,2,19031,16959,1,16986,18990,1
28,0001,2021-01-22 11:00:28.842,2,19031,16959,1,16986,18990,1
29,0001,2021-01-22 11:00:29.843,2,19031,16960,0,16987,18990,0
30,0001,2021-01-22 11:00:30.858,2,19031,16960,0,16987,18990,0
31,0001,2021-01-22 11:00:31.874,2,19031,16960,0,16987,18990,0
32,0001,2021-01-22 11:00:32.889,2,19031,16960,0,16987,18990,0
33,0001,2021-01-22 11:00:33.905,2,19031,16960,0,16987,18990,0
34,0001,2021-01-22 11:00:34.92,2,19031,16960,0,16987,18990,0
35,0001,2021-01-22 11:00:35.935,2,19031,16960,0,16987,18990,0
36,0001,2021-01-22 11:00:36.951,2,19031,16960,1,16987,18990,1
37,0001,2021-01-22 11:00:37.966,2,19031,16960,1,16987,18990,1
38,0001,2021-01-22 11:00:38.981,2,19031,16960,1,16987,18990,1
39,0001,2021-01-22 11:00:39.997,2,19031,16960,1,16987,18990,1
40,0001,2021-01-22 11:00:41.012,2,19031,16960,1,16987,18990,1
41,0001,2021-01-22 11:00:42.028,2,19031,16960,1,16987,18990,1
42,0001,2021-01-22 11:00:43.043,2,19031,16960,1,16987,18990,1
43,0001,2021-01-22 11:00:44.06,2,19031,16960,1,16987,18990,1
44,0001,2021-01-22 11:00:45.076,2,19031,16960,1,16987,18990,1
45,0001,2021-01-22 11:00:46.091,2,19031,16960,1,16987,18990,1
46,0001,2021-01-22 11:00:47.106,2,19032,16960,0,16987,18991,0
47,0001,2021-01-22 11:00:48.122,2,19032,16960,0,16987,18991,0
48,0001,2021-01-22 11:00:49.137,2,19032,16960,0,16987,18991,0
