id,place,receive_time,sensor_num,in1,out1,state1,in2,out2,state2
0,0001,2021-01-21 04:00:00.9,2,14873,13841,0,13860,14840,0
1,0001,2021-01-21 04:00:01.915,2,14873,13841,0,13860,14840,0
2,0001,2021-01-21 04:00:02.93,2,14873,13841,0,13860,14840,0
3,0001,2021-01-21 04:00:03.946,2,14873,13841,0,13860,14840,0
4,0001,2021-01-21 04:00:04.961,2,14873,13841,0,13860,14840,0
5,0001,2021-01-21 04:00:05.976,2,14873,13841,0,13860,14840,0
6,0001,2021-01-21 04:00:06.992,2,14873,13841,0,13860,14840,0
7,0001,2021-01-21 04:00:08.007,2,14873,13841,0,13860,14840,0
8,0001,2021-01-21 04:00:09.023,2,14873,13841,0,13860,14840,0
9,0001,2021-01-21 04:00:10.038,2,14873,13841,0,13860,14840,0
10,0001,2021-01-21 04:00:11.053,2,14873,13841,0,13860,14840,0
11,0001,2021-01-21 04:00:12.069,2,14873,13841,0,13860,14840,0
12,0001,2021-01-21 04:00:13.084,2,14873,13841,0,13860,14840,0
13,0001,2021-01-21 04:00:14.086,2,14873,13841,0,13860,14840,0
14,0001,2021-01-21 04:00:15.101,2,14873,13841,0,13860,14840,0
15,0001,2021-01-21 04:00:16.116,2,14873,13841,0,13860,14840,0
16,0001,2021-01-21 04:00:17.132,2,14873,13841,0,13860,14840,0
17,0001,2021-01-21 04:00:18.147,2,14873,13841,0,13860,14840,0
18,0001,2021-01-21 04:00:19.162,2,14873,13841,0,13860,14840,0
19,0001,2021-01-21 04:00:20.178,2,14873,13841,0,13860,14840,0
20,0001,2021-01-21 04:00:21.193,2,14873,13841,0,13860,14840,0
21,0001,2021-01-21 04:00:22.209,2,14873,13841,0,13860,14840,0
22,0001,2021-01-21 04:00:23.224,2,14873,13841,0,13860,14840,0
23,0001,2021-01-21 04:00:24.239,2,14873,13841,0,13860,14840,0
24,0001,2021-01-21 04:00:25.255,2,14873,13841,0,13860,14840,0
25,0001,2021-01-21 04:00:26.27,2,14873,13841,0,13860,14840,0
26,0001,2021-01-21 04:00:27.286,2,14873,13841,0,13860,14840,0
27,0001,2021-01-21 04:00:28.301,2,14873,13841,0,13860,14840,0
28,0001,2021-01-21 04:00:29.302,2,14873,13841,0,13860,14840,0
29,0001,2021-01-21 04:00:30.318,2,14873,13841,0,13860,14840,0
30,0001,2021-01-21 04:00:31.333,2,14873,13841,0,13860,14840,0
31,0001,2021-01-21 04:00:32.348,2,14873,13841,0,13860,14840,0
32,0001,2021-01-21 04:00:33.364,2,14873,13841,0,13860,14840,0
33,0001,2021-01-21 04:00:34.379,2,14873,13841,0,13860,14840,0
34,0001,2021-01-21 04:00:35.395,2,14873,13841,0,13860,14840,0
35,0001,2021-01-21 04:00:36.41,2,14873,13841,0,13860,14840,0
36,0001,2021-01-21 04:00:37.425,2,14873,13841,0,13860,14840,0
37,0001,2021-01-21 04:00:38.441,2,14873,13841,0,13860,14840,0
38,0001,2021-01-21 04:00:39.456,2,14873,13841,0,13860,14840,0
39,0001,2021-01-21 04:00:40.472,2,14873,13841,0,13860,14840,0
40,0001,2021-01-21 04:00:41.487,2,14873,13841,0,13860,14840,0
41,0001,2021-01-21 04:00:42.502,2,14873,13841,0,13860,14840,0
42,0001,2021-01-21 04:00:43.518,2,14873,13841,0,13860,14840,0
