id,place,receive_time,sensor_num,in1,out1,state1,in2,out2,state2
0,0001,2021-01-17 03:00:00.464,2,4958,4656,0,4659,4946,0
1,0001,2021-01-17 03:00:01.48,2,4958,4656,0,4659,4946,0
2,0001,2021-01-17 03:00:02.495,2,4958,4656,0,4659,4946,0
3,0001,2021-01-17 03:00:03.51,2,4958,4656,0,4659,4946,0
4,0001,2021-01-17 03:00:04.526,2,4958,4656,0,4659,4946,0
5,0001,2021-01-17 03:00:05.541,2,4958,4656,0,4659,4946,0
6,0001,2021-01-17 03:00:06.556,2,4958,4656,0,4659,4946,0
7,0001,2021-01-17 03:00:07.572,2,4958,4656,0,4659,4946,0
8,0001,2021-01-17 03:00:08.587,2,4958,4656,0,4659,4946,0
9,0001,2021-01-17 03:00:09.603,2,4958,4656,0,4659,4946,0
10,0001,2021-01-17 03:00:10.618,2,4958,4656,0,4659,4946,0
11,0001,2021-01-17 03:00:11.634,2,4958,4656,0,4659,4946,0
12,0001,2021-01-17 03:00:12.649,2,4958,4656,0,4659,4946,0
13,0001,2021-01-17 03:00:13.664,2,4958,4656,0,4659,4946,0
14,0001,2021-01-17 03:00:14.68,2,4958,4656,0,4659,4946,0
15,0001,2021-01-17 03:00:15.681,2,4958,4656,0,4659,4946,0
16,0001,2021-01-17 03:00:16.696,2,4958,4656,0,4659,4946,0
17,0001,2021-01-17 03:00:17.712,2,4958,4656,0,4659,4946,0
18,0001,2021-01-17 03:00:18.727,2,4958,4656,0,4659,4946,0
19,0001,2021-01-17 03:00:19.743,2,4958,4656,0,4659,4946,0
20,0001,2021-01-17 03:00:20.758,2,4958,4656,0,4659,4946,0
21,0001,2021-01-17 03:00:21.773,2,4958,4656,0,4659,4946,0
22,0001,2021-01-17 03:00:22.789,2,4958,4656,0,4659,4946,0
23,0001,2021-01-17 03:00:23.804,2,4958,4656,0,4659,4946,0
24,0001,2021-01-17 03:00:24.82,2,4958,4656,0,4659,4946,0
25,0001,2021-01-17 03:00:25.835,2,4958,4656,0,4659,4946,0
26,0001,2021-01-17 03:00:26.85,2,4958,4656,0,4659,4946,0
27,0001,2021-01-17 03:00:27.866,2,4958,4656,0,4659,4946,0
28,0001,2021-01-17 03:00:28.881,2,4958,4656,0,4659,4946,0
29,0001,2021-01-17 03:00:29.897,2,4958,4656,0,4659,4946,0
30,0001,2021-01-17 03:00:30.898,2,4958,4656,0,4659,4946,0
31,0001,2021-01-17 03:00:31.913,2,4958,4656,0,4659,4946,0
32,0001,2021-01-17 03:00:32.929,2,4958,4656,0,4659,4946,0
33,0001,2021-01-17 03:00:33.944,2,4958,4656,0,4659,4946,0
34,0001,2021-01-17 03:00:34.959,2,4958,4656,0,4659,4946,0
35,0001,2021-01-17 03:00:35.975,2,4958,4656,0,4659,4946,0
36,0001,2021-01-17 03:00:36.99,2,4958,4656,0,4659,4946,0
37,0001,2021-01-17 03:00:38.006,2,4958,4656,0,4659,4946,0
38,0001,2021-01-17 03:00:39.021,2,4958,4656,0,4659,4946,0
39,0001,2021-01-17 03:00:40.036,2,4958,4656,0,4659,4946,0
40,0001,2021-01-17 03:00:41.052,2,4958,4656,0,4659,4946,0
41,0001,2021-01-17 03:00:42.067,2,4958,4656,0,4659,4946,0
42,0001,2021-01-17 03:00:43.082,2,4958,4656,0,4659,4946,0
