1,1010001016019,71,0,2021-04-01,2021-03-01,"株式会社国際漢方研究所",,301,"東京都","千代田区","内神田３丁目６番１号",,13,101,1010047,,,,,,"令和３年３月１日東京都渋谷区千駄ヶ谷五丁目２９番１１号ナカニシビル６０２号室株式会社Ｉｎｔｅｎｔｉｏｎ（2011001062027）を合併令和３年３月１日福島県二本松市太田字寺沢２１番地１株式会社国際漢方研究所（6380001009526）を合併",2015-10-05,1,,,,,"コクサイカンポウケンキュウショ",0
2,1010001092869,01,1,2021-04-01,2020-06-11,"あさひ銀リテールファイナンス株式会社",,301,"東京都","千代田区","大手町１丁目１番２号りそな銀行内",,13,101,1000004,,,,,,,2020-06-11,0,,,,,"アサヒギンリテールファイナンス",0
3,1010001092869,21,0,2021-04-01,2021-03-22,"あさひ銀リテールファイナンス株式会社",,301,"東京都","千代田区","大手町１丁目１番２号りそな銀行内",,13,101,1000004,,,2021-03-22,01,,,2020-06-11,1,,,,,"アサヒギンリテールファイナンス",0
4,1010001128061,01,1,2021-04-01,2015-10-05,"日本アイ・ビー・エム株式会社",,301,"東京都","中央区","日本橋箱崎町１９番２１号",,13,102,1030015,,,,,,,2015-10-05,0,,,,,"ニホンアイビーエム",0
5,1010001128061,71,1,2021-04-01,2017-10-02,"日本アイ・ビー・エム株式会社",,301,"東京都","中央区","日本橋箱崎町１９番２１号",,13,102,1030015,,,,,,"平成２９年１０月１日東京都中央区日本橋箱崎町１９番２１号アイ・ビー・エム・アジア・パシフィック・サービス株式会社（6010001128461）を合併",2015-10-05,1,,,,,"ニホンアイビーエム",0
6,1010001170716,01,1,2021-04-01,2015-10-05,"株式会社アールティフォワード",,301,"東京都","千代田区","外神田３丁目２番１３号山口ビル３Ｆ",,13,101,1010021,,,,,,,2015-10-05,1,,,,,"アールティフォワード",0
7,1010002006002,01,1,2021-04-01,2015-10-05,"有限会社武藏屋",00049680,302,"東京都","文京区","小石川１丁目２６番１２号",,13,105,1120002,,,,,,,2015-10-05,1,,,,,"ムサシヤ",0
8,1010002018245,12,0,2021-04-01,2021-03-29,"株式会社太田商事",,301,"東京都","中野区","中央５丁目５番９号ステージ５－２０３号室",,13,114,1640011,,,,,,,2015-10-05,1,,,,,"オオタショウジ",0
9,1010002019763,01,1,2021-04-01,2015-10-05,"有限会社小柳",,302,"東京都","中央区","日本橋１丁目８番５号",,13,102,1030027,,,,,,,2015-10-05,1,,,,,"コヤナギ",0
10,1010002027031,01,1,2021-04-01,2015-10-05,"有限会社村山プロセス",,302,"東京都","文京区","白山１丁目１１番１２号",,13,105,1130001,,,,,,,2015-10-05,1,,,,,"ムラヤマプロセス",0
