No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
1,2024/1/4,7405,7,4,0,5
2,2024/1/5,5170,5,1,7,0
3,2024/1/8,4587,4,5,8,7
4,2024/1/9,1610,1,6,1,0
5,2024/1/10,7124,7,1,2,4
6,2024/1/11,9214,9,2,1,4
7,2024/1/12,0944,0,9,4,4
8,2024/1/15,0080,0,0,8,0
9,2024/1/16,8895,8,8,9,5
10,2024/1/17,2293,2,2,9,3
11,2024/1/18,2864,2,8,6,4
12,2024/1/19,8095,8,0,9,5
13,2024/1/22,2651,2,6,5,1
14,2024/1/23,8913,8,9,1,3
15,2024/1/24,2199,2,1,9,9
16,2024/1/25,3648,3,6,4,8
17,2024/1/26,4108,4,1,0,8
18,2024/1/29,9353,9,3,5,3
19,2024/1/30,2137,2,1,3,7
20,2024/1/31,6806,6,8,0,6
21,2024/2/1,9358,9,3,5,8
22,2024/2/2,4692,4,6,9,2
23,2024/2/5,6724,6,7,2,4
24,2024/2/6,3003,3,0,0,3
25,2024/2/7,9372,9,3,7,2
26,2024/2/8,0006,0,0,0,6
27,2024/2/9,5389,5,3,8,9
28,2024/2/12,0045,0,0,4,5
29,2024/2/13,0710,0,7,1,0
30,2024/2/14,7229,7,2,2,9
31,2024/2/15,7029,7,0,2,9
32,2024/2/16,4208,4,2,0,8
33,2024/2/19,7390,7,3,9,0
34,2024/2/20,0042,0,0,4,2
35,2024/2/21,2361,2,3,6,1
36,2024/2/22,7519,7,5,1,9
37,2024/2/23,5651,5,6,5,1
38,2024/2/26,6864,6,8,6,4
39,2024/2/27,5868,5,8,6,8
40,2024/2/28,0825,0,8,2,5
41,2024/2/29,9550,9,5,5,0
42,2024/3/1,3560,3,5,6,0
43,2024/3/4,4511,4,5,1,1
44,2024/3/5,9892,9,8,9,2
45,2024/3/6,9482,9,4,8,2
46,2024/3/7,6822,6,8,2,2
47,2024/3/8,8763,8,7,6,3
48,2024/3/11,7468,7,4,6,8
49,2024/3/12,9146,9,1,4,6
50,2024/3/13,0017,0,0,1,7
51,2024/3/14,6599,6,5,9,9
52,2024/3/15,3988,3,9,8,8
53,2024/3/18,5004,5,0,0,4
54,2024/3/19,5961,5,9,6,1
55,2024/3/20,6496,6,4,9,6
56,2024/3/21,3237,3,2,3,7
57,2024/3/22,5485,5,4,8,5
58,2024/3/25,0224,0,2,2,4
59,2024/3/26,2814,2,8,1,4
60,2024/3/27,4360,4,3,6,0
61,2024/3/28,3918,3,9,1,8
62,2024/3/29,8399,8,3,9,9
63,2024/4/1,3489,3,4,8,9
64,2024/4/2,4591,4,5,9,1
65,2024/4/3,8640,8,6,4,0
66,2024/4/4,6280,6,2,8,0
67,2024/4/5,3364,3,3,6,4
68,2024/4/8,2743,2,7,4,3
69,2024/4/9,1002,1,0,0,2
70,2024/4/10,4170,4,1,7,0
71,2024/4/11,2518,2,5,1,8
72,2024/4/12,8158,8,1,5,8
73,2024/4/15,0597,0,5,9,7
74,2024/4/16,5845,5,8,4,5
75,2024/4/17,3563,3,5,6,3
76,2024/4/18,3690,3,6,9,0
77,2024/4/19,0207,0,2,0,7
78,2024/4/22,1459,1,4,5,9
79,2024/4/23,9319,9,3,1,9
80,2024/4/24,7874,7,8,7,4
81,2024/4/25,6118,6,1,1,8
82,2024/4/26,7210,7,2,1,0
83,2024/4/29,0040,0,0,4,0
84,2024/4/30,3275,3,2,7,5
85,2024/5/1,6135,6,1,3,5
86,2024/5/2,7987,7,9,8,7
87,2024/5/3,1323,1,3,2,3
88,2024/5/6,9100,9,1,0,0
89,2024/5/7,3360,3,3,6,0
90,2024/5/8,1361,1,3,6,1
91,2024/5/9,8593,8,5,9,3
92,2024/5/10,6965,6,9,6,5
93,2024/5/13,2064,2,0,6,4
94,2024/5/14,7167,7,1,6,7
95,2024/5/15,7965,7,9,6,5
96,2024/5/16,6877,6,8,7,7
97,2024/5/17,1380,1,3,8,0
98,2024/5/20,8588,8,5,8,8
99,2024/5/21,4677,4,6,7,7
100,2024/5/22,8006,8,0,0,6
101,2024/5/23,4656,4,6,5,6
102,2024/5/24,5201,5,2,0,1
103,2024/5/27,5737,5,7,3,7
104,2024/5/28,3618,3,6,1,8
105,2024/5/29,3644,3,6,4,4
106,2024/5/30,5782,5,7,8,2
107,2024/5/31,1469,1,4,6,9
108,2024/6/3,9947,9,9,4,7
109,2024/6/4,5930,5,9,3,0
110,2024/6/5,9656,9,6,5,6
111,2024/6/6,2384,2,3,8,4
112,2024/6/7,9143,9,1,4,3
113,2024/6/10,0348,0,3,4,8
114,2024/6/11,9400,9,4,0,0
115,2024/6/12,4011,4,0,1,1
116,2024/6/13,1691,1,6,9,1
117,2024/6/14,5505,5,5,0,5
118,2024/6/17,5640,5,6,4,0
119,2024/6/18,2045,2,0,4,5
120,2024/6/19,2646,2,6,4,6
121,2024/6/20,2322,2,3,2,2
122,2024/6/21,6593,6,5,9,3
123,2024/6/24,2049,2,0,4,9
124,2024/6/25,8337,8,3,3,7
125,2024/6/26,7556,7,5,5,6
126,2024/6/27,2552,2,5,5,2
127,2024/6/28,7285,7,2,8,5
128,2024/7/1,6836,6,8,3,6
129,2024/7/2,5240,5,2,4,0
130,2024/7/3,4896,4,8,9,6
131,2024/7/4,4365,4,3,6,5
132,2024/7/5,6715,6,7,1,5
133,2024/7/8,2208,2,2,0,8
134,2024/7/9,9108,9,1,0,8
135,2024/7/10,7132,7,1,3,2
136,2024/7/11,5209,5,2,0,9
137,2024/7/12,9345,9,3,4,5
138,2024/7/15,8023,8,0,2,3
139,2024/7/16,7487,7,4,8,7
140,2024/7/17,2710,2,7,1,0
141,2024/7/18,6232,6,2,3,2
142,2024/7/19,4044,4,0,4,4
143,2024/7/22,9282,9,2,8,2
144,2024/7/23,2827,2,8,2,7
145,2024/7/24,6533,6,5,3,3
146,2024/7/25,2254,2,2,5,4
147,2024/7/26,4387,4,3,8,7
148,2024/7/29,0780,0,7,8,0
149,2024/7/30,3787,3,7,8,7
150,2024/7/31,1417,1,4,1,7
151,2024/8/1,9118,9,1,1,8
152,2024/8/2,0793,0,7,9,3
153,2024/8/5,1951,1,9,5,1
154,2024/8/6,7007,7,0,0,7
155,2024/8/7,5624,5,6,2,4
156,2024/8/8,8115,8,1,1,5
157,2024/8/9,8424,8,4,2,4
158,2024/8/12,9533,9,5,3,3
159,2024/8/13,4167,4,1,6,7
160,2024/8/14,1770,1,7,7,0
161,2024/8/15,3966,3,9,6,6
162,2024/8/16,1799,1,7,9,9
163,2024/8/19,2057,2,0,5,7
164,2024/8/20,0358,0,3,5,8
165,2024/8/21,8412,8,4,1,2
166,2024/8/22,4618,4,6,1,8
167,2024/8/23,1604,1,6,0,4
168,2024/8/26,7237,7,2,3,7
169,2024/8/27,2390,2,3,9,0
170,2024/8/28,6008,6,0,0,8
171,2024/8/29,1491,1,4,9,1
172,2024/8/30,9909,9,9,0,9
173,2024/9/2,0205,0,2,0,5
174,2024/9/3,9141,9,1,4,1
175,2024/9/4,7828,7,8,2,8
176,2024/9/5,1910,1,9,1,0
177,2024/9/6,7889,7,8,8,9
178,2024/9/9,5705,5,7,0,5
179,2024/9/10,5740,5,7,4,0
180,2024/9/11,4835,4,8,3,5
181,2024/9/12,1130,1,1,3,0
182,2024/9/13,7056,7,0,5,6
183,2024/9/16,3232,3,2,3,2
184,2024/9/17,4601,4,6,0,1
185,2024/9/18,3848,3,8,4,8
186,2024/9/19,2796,2,7,9,6
187,2024/9/20,6411,6,4,1,1
188,2024/9/23,2095,2,0,9,5
189,2024/9/24,5794,5,7,9,4
190,2024/9/25,3119,3,1,1,9
191,2024/9/26,4488,4,4,8,8
192,2024/9/27,5225,5,2,2,5
193,2024/9/30,5211,5,2,1,1
194,2024/10/1,0605,0,6,0,5
195,2024/10/2,9563,9,5,6,3
196,2024/10/3,9299,9,2,9,9
197,2024/10/4,0784,0,7,8,4
198,2024/10/7,5812,5,8,1,2
199,2024/10/8,8903,8,9,0,3
200,2024/10/9,1319,1,3,1,9
201,2024/10/10,0946,0,9,4,6
202,2024/10/11,5126,5,1,2,6
203,2024/10/14,3661,3,6,6,1
204,2024/10/15,5667,5,6,6,7
205,2024/10/16,8407,8,4,0,7
206,2024/10/17,2004,2,0,0,4
207,2024/10/18,8921,8,9,2,1
208,2024/10/21,9546,9,5,4,6
209,2024/10/22,7178,7,1,7,8
210,2024/10/23,5665,5,6,6,5
211,2024/10/24,4428,4,4,2,8
212,2024/10/25,7675,7,6,7,5
213,2024/10/28,2405,2,4,0,5
214,2024/10/29,1995,1,9,9,5
215,2024/10/30,1133,1,1,3,3
216,2024/10/31,4059,4,0,5,9
217,2024/11/1,5709,5,7,0,9
218,2024/11/4,4412,4,4,1,2
219,2024/11/5,2667,2,6,6,7
220,2024/11/6,7143,7,1,4,3
221,2024/11/7,0313,0,3,1,3
222,2024/11/8,8888,8,8,8,8
223,2024/11/11,3369,3,3,6,9
224,2024/11/12,0206,0,2,0,6
225,2024/11/13,3005,3,0,0,5
226,2024/11/14,3952,3,9,5,2
227,2024/11/15,3631,3,6,3,1
228,2024/11/18,5730,5,7,3,0
229,2024/11/19,1088,1,0,8,8
230,2024/11/20,7649,7,6,4,9
231,2024/11/21,3340,3,3,4,0
232,2024/11/22,2532,2,5,3,2
233,2024/11/25,7220,7,2,2,0
234,2024/11/26,5653,5,6,5,3
235,2024/11/27,8963,8,9,6,3
236,2024/11/28,4640,4,6,4,0
237,2024/11/29,3212,3,2,1,2
238,2024/12/2,3920,3,9,2,0
239,2024/12/3,1978,1,9,7,8
240,2024/12/4,0000,0,0,0,0
241,2024/12/5,8253,8,2,5,3
242,2024/12/6,8939,8,9,3,9
243,2024/12/9,2617,2,6,1,7
244,2024/12/10,4259,4,2,5,9
245,2024/12/11,6217,6,2,1,7
246,2024/12/12,9105,9,1,0,5
247,2024/12/13,6199,6,1,9,9
248,2024/12/16,3424,3,4,2,4
249,2024/12/17,0596,0,5,9,6
250,2024/12/18,3498,3,4,9,8
251,2024/12/19,5214,5,2,1,4
252,2024/12/20,0580,0,5,8,0
253,2024/12/23,5892,5,8,9,2
254,2024/12/24,5231,5,2,3,1
255,2024/12/25,0474,0,4,7,4
256,2024/12/26,4119,4,1,1,9
257,2024/12/27,4386,4,3,8,6
258,2024/12/30,9983,9,9,8,3
