1,2019/1/4,5939,5,9,3,9
2,2019/1/7,9061,9,0,6,1
3,2019/1/8,3611,3,6,1,1
4,2019/1/9,5275,5,2,7,5
5,2019/1/10,9075,9,0,7,5
6,2019/1/11,8011,8,0,1,1
7,2019/1/14,9921,9,9,2,1
8,2019/1/15,9670,9,6,7,0
9,2019/1/16,0294,0,2,9,4
10,2019/1/17,1979,1,9,7,9
11,2019/1/18,7632,7,6,3,2
12,2019/1/21,2125,2,1,2,5
13,2019/1/22,2789,2,7,8,9
14,2019/1/23,3142,3,1,4,2
15,2019/1/24,3345,3,3,4,5
16,2019/1/25,7632,7,6,3,2
17,2019/1/28,2835,2,8,3,5
18,2019/1/29,4361,4,3,6,1
19,2019/1/30,1980,1,9,8,0
20,2019/1/31,9845,9,8,4,5
21,2019/2/1,3274,3,2,7,4
22,2019/2/4,8661,8,6,6,1
23,2019/2/5,5196,5,1,9,6
24,2019/2/6,2811,2,8,1,1
25,2019/2/7,6537,6,5,3,7
26,2019/2/8,1996,1,9,9,6
27,2019/2/11,4304,4,3,0,4
28,2019/2/12,7771,7,7,7,1
29,2019/2/13,4259,4,2,5,9
30,2019/2/14,4072,4,0,7,2
31,2019/2/15,0359,0,3,5,9
32,2019/2/18,1906,1,9,0,6
33,2019/2/19,8370,8,3,7,0
34,2019/2/20,0952,0,9,5,2
35,2019/2/21,9572,9,5,7,2
36,2019/2/22,4397,4,3,9,7
37,2019/2/25,5406,5,4,0,6
38,2019/2/26,2133,2,1,3,3
39,2019/2/27,2515,2,5,1,5
40,2019/2/28,5717,5,7,1,7
41,2019/3/1,5667,5,6,6,7
42,2019/3/4,7315,7,3,1,5
43,2019/3/5,2002,2,0,0,2
44,2019/3/6,1610,1,6,1,0
45,2019/3/7,4047,4,0,4,7
46,2019/3/8,5292,5,2,9,2
47,2019/3/11,7525,7,5,2,5
48,2019/3/12,1625,1,6,2,5
49,2019/3/13,3718,3,7,1,8
50,2019/3/14,2392,2,3,9,2
51,2019/3/15,5728,5,7,2,8
52,2019/3/18,4945,4,9,4,5
53,2019/3/19,6998,6,9,9,8
54,2019/3/20,2702,2,7,0,2
55,2019/3/21,0905,0,9,0,5
56,2019/3/22,8719,8,7,1,9
57,2019/3/25,4172,4,1,7,2
58,2019/3/26,1871,1,8,7,1
59,2019/3/27,1785,1,7,8,5
60,2019/3/28,4886,4,8,8,6
61,2019/3/29,1083,1,0,8,3
62,2019/4/1,4001,4,0,0,1
63,2019/4/2,8811,8,8,1,1
64,2019/4/3,9229,9,2,2,9
65,2019/4/4,1200,1,2,0,0
66,2019/4/5,9688,9,6,8,8
67,2019/4/8,8391,8,3,9,1
68,2019/4/9,4889,4,8,8,9
69,2019/4/10,4289,4,2,8,9
70,2019/4/11,7670,7,6,7,0
71,2019/4/12,0431,0,4,3,1
72,2019/4/15,7267,7,2,6,7
73,2019/4/16,8597,8,5,9,7
74,2019/4/17,7206,7,2,0,6
75,2019/4/18,3048,3,0,4,8
76,2019/4/19,1392,1,3,9,2
77,2019/4/22,6352,6,3,5,2
78,2019/4/23,6924,6,9,2,4
79,2019/4/24,9916,9,9,1,6
80,2019/4/25,7682,7,6,8,2
81,2019/4/26,9204,9,2,0,4
82,2019/4/29,2636,2,6,3,6
83,2019/4/30,0331,0,3,3,1
84,2019/5/1,6703,6,7,0,3
85,2019/5/2,0423,0,4,2,3
86,2019/5/3,5637,5,6,3,7
87,2019/5/6,1275,1,2,7,5
88,2019/5/7,8547,8,5,4,7
89,2019/5/8,7802,7,8,0,2
90,2019/5/9,6251,6,2,5,1
91,2019/5/10,0010,0,0,1,0
92,2019/5/13,2780,2,7,8,0
93,2019/5/14,9141,9,1,4,1
94,2019/5/15,4143,4,1,4,3
95,2019/5/16,4388,4,3,8,8
96,2019/5/17,9254,9,2,5,4
97,2019/5/20,5090,5,0,9,0
98,2019/5/21,1177,1,1,7,7
99,2019/5/22,7254,7,2,5,4
100,2019/5/23,1312,1,3,1,2
101,2019/5/24,3037,3,0,3,7
102,2019/5/27,7912,7,9,1,2
103,2019/5/28,3602,3,6,0,2
104,2019/5/29,8447,8,4,4,7
105,2019/5/30,3690,3,6,9,0
106,2019/5/31,0146,0,1,4,6
107,2019/6/3,9555,9,5,5,5
108,2019/6/4,3481,3,4,8,1
109,2019/6/5,4571,4,5,7,1
110,2019/6/6,8113,8,1,1,3
111,2019/6/7,0777,0,7,7,7
112,2019/6/10,1448,1,4,4,8
113,2019/6/11,3201,3,2,0,1
114,2019/6/12,5879,5,8,7,9
115,2019/6/13,5318,5,3,1,8
116,2019/6/14,9674,9,6,7,4
117,2019/6/17,4322,4,3,2,2
118,2019/6/18,4333,4,3,3,3
119,2019/6/19,4743,4,7,4,3
120,2019/6/20,0602,0,6,0,2
121,2019/6/21,2880,2,8,8,0
122,2019/6/24,3658,3,6,5,8
123,2019/6/25,6616,6,6,1,6
124,2019/6/26,5749,5,7,4,9
125,2019/6/27,4825,4,8,2,5
126,2019/6/28,1790,1,7,9,0
127,2019/7/1,7116,7,1,1,6
128,2019/7/2,7286,7,2,8,6
129,2019/7/3,8349,8,3,4,9
130,2019/7/4,7193,7,1,9,3
131,2019/7/5,2571,2,5,7,1
132,2019/7/8,1032,1,0,3,2
133,2019/7/9,4945,4,9,4,5
134,2019/7/10,3799,3,7,9,9
135,2019/7/11,3742,3,7,4,2
136,2019/7/12,2504,2,5,0,4
137,2019/7/15,6545,6,5,4,5
138,2019/7/16,8506,8,5,0,6
139,2019/7/17,5572,5,5,7,2
140,2019/7/18,0502,0,5,0,2
141,2019/7/19,7795,7,7,9,5
142,2019/7/22,7211,7,2,1,1
143,2019/7/23,7782,7,7,8,2
144,2019/7/24,2134,2,1,3,4
145,2019/7/25,5215,5,2,1,5
146,2019/7/26,2791,2,7,9,1
147,2019/7/29,3442,3,4,4,2
148,2019/7/30,2447,2,4,4,7
149,2019/7/31,7846,7,8,4,6
150,2019/8/1,2945,2,9,4,5
151,2019/8/2,1575,1,5,7,5
152,2019/8/5,1055,1,0,5,5
153,2019/8/6,6385,6,3,8,5
154,2019/8/7,5223,5,2,2,3
155,2019/8/8,2188,2,1,8,8
156,2019/8/9,8637,8,6,3,7
157,2019/8/12,9036,9,0,3,6
158,2019/8/13,8199,8,1,9,9
159,2019/8/14,6196,6,1,9,6
160,2019/8/15,0387,0,3,8,7
161,2019/8/16,4305,4,3,0,5
162,2019/8/19,8440,8,4,4,0
163,2019/8/20,8604,8,6,0,4
164,2019/8/21,9259,9,2,5,9
165,2019/8/22,6550,6,5,5,0
166,2019/8/23,9223,9,2,2,3
167,2019/8/26,6479,6,4,7,9
168,2019/8/27,7206,7,2,0,6
169,2019/8/28,9083,9,0,8,3
170,2019/8/29,1616,1,6,1,6
171,2019/8/30,2200,2,2,0,0
172,2019/9/2,9854,9,8,5,4
173,2019/9/3,7521,7,5,2,1
174,2019/9/4,2076,2,0,7,6
