No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
1,2025/1/6,0685,0,6,8,5
2,2025/1/7,3754,3,7,5,4
3,2025/1/8,1786,1,7,8,6
4,2025/1/9,5802,5,8,0,2
5,2025/1/10,1599,1,5,9,9
6,2025/1/13,8583,8,5,8,3
7,2025/1/14,0135,0,1,3,5
8,2025/1/15,1366,1,3,6,6
9,2025/1/16,2324,2,3,2,4
10,2025/1/17,9774,9,7,7,4
11,2025/1/20,4409,4,4,0,9
12,2025/1/21,8259,8,2,5,9
13,2025/1/22,6385,6,3,8,5
14,2025/1/23,5420,5,4,2,0
15,2025/1/24,2315,2,3,1,5
16,2025/1/27,7240,7,2,4,0
17,2025/1/28,0893,0,8,9,3
18,2025/1/29,9590,9,5,9,0
19,2025/1/30,5400,5,4,0,0
20,2025/1/31,1596,1,5,9,6
21,2025/2/3,0235,0,2,3,5
22,2025/2/4,4827,4,8,2,7
23,2025/2/5,2317,2,3,1,7
24,2025/2/6,0853,0,8,5,3
25,2025/2/7,3881,3,8,8,1
26,2025/2/10,0859,0,8,5,9
27,2025/2/11,8942,8,9,4,2
28,2025/2/12,3343,3,3,4,3
29,2025/2/13,1946,1,9,4,6
30,2025/2/14,3273,3,2,7,3
31,2025/2/17,6744,6,7,4,4
32,2025/2/18,0385,0,3,8,5
33,2025/2/19,9265,9,2,6,5
34,2025/2/20,1890,1,8,9,0
35,2025/2/21,6398,6,3,9,8
36,2025/2/24,3026,3,0,2,6
37,2025/2/25,9378,9,3,7,8
38,2025/2/26,0664,0,6,6,4
39,2025/2/27,3839,3,8,3,9
40,2025/2/28,4968,4,9,6,8
41,2025/3/3,1170,1,1,7,0
42,2025/3/4,6318,6,3,1,8
43,2025/3/5,8194,8,1,9,4
44,2025/3/6,1781,1,7,8,1
45,2025/3/7,0948,0,9,4,8
46,2025/3/10,8256,8,2,5,6
47,2025/3/11,8261,8,2,6,1
48,2025/3/12,9200,9,2,0,0
49,2025/3/13,0384,0,3,8,4
50,2025/3/14,2853,2,8,5,3
51,2025/3/17,7006,7,0,0,6
52,2025/3/18,9843,9,8,4,3
53,2025/3/19,1087,1,0,8,7
54,2025/3/20,8555,8,5,5,5
55,2025/3/21,1431,1,4,3,1
56,2025/3/24,0488,0,4,8,8
57,2025/3/25,2191,2,1,9,1
58,2025/3/26,8397,8,3,9,7
59,2025/3/27,0745,0,7,4,5
60,2025/3/28,6185,6,1,8,5
61,2025/3/31,8221,8,2,2,1
62,2025/4/1,3671,3,6,7,1
63,2025/4/2,1695,1,6,9,5
64,2025/4/3,7892,7,8,9,2
65,2025/4/4,9721,9,7,2,1
66,2025/4/7,2078,2,0,7,8
67,2025/4/8,4417,4,4,1,7
68,2025/4/9,4013,4,0,1,3
69,2025/4/10,7856,7,8,5,6
70,2025/4/11,7011,7,0,1,1
71,2025/4/14,1820,1,8,2,0
72,2025/4/15,2166,2,1,6,6
73,2025/4/16,7555,7,5,5,5
74,2025/4/17,8842,8,8,4,2
75,2025/4/18,4811,4,8,1,1
76,2025/4/21,7834,7,8,3,4
77,2025/4/22,6697,6,6,9,7
78,2025/4/23,7059,7,0,5,9
79,2025/4/24,9686,9,6,8,6
80,2025/4/25,4071,4,0,7,1
81,2025/4/28,1670,1,6,7,0
