No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
1,2023/1/4,5409,5,4,0,9
2,2023/1/5,3592,3,5,9,2
3,2023/1/6,2652,2,6,5,2
4,2023/1/9,0395,0,3,9,5
5,2023/1/10,4608,4,6,0,8
6,2023/1/11,1751,1,7,5,1
7,2023/1/12,9702,9,7,0,2
8,2023/1/13,6233,6,2,3,3
9,2023/1/16,5925,5,9,2,5
10,2023/1/17,0525,0,5,2,5
11,2023/1/18,4462,4,4,6,2
12,2023/1/19,3013,3,0,1,3
13,2023/1/20,2203,2,2,0,3
14,2023/1/23,1349,1,3,4,9
15,2023/1/24,8428,8,4,2,8
16,2023/1/25,5224,5,2,2,4
17,2023/1/26,7248,7,2,4,8
18,2023/1/27,5238,5,2,3,8
19,2023/1/30,9034,9,0,3,4
20,2023/1/31,0457,0,4,5,7
21,2023/2/1,1781,1,7,8,1
22,2023/2/2,1766,1,7,6,6
23,2023/2/3,0534,0,5,3,4
24,2023/2/6,4509,4,5,0,9
25,2023/2/7,2697,2,6,9,7
26,2023/2/8,0990,0,9,9,0
27,2023/2/9,4810,4,8,1,0
28,2023/2/10,9414,9,4,1,4
29,2023/2/13,2577,2,5,7,7
30,2023/2/14,1137,1,1,3,7
31,2023/2/15,3489,3,4,8,9
32,2023/2/16,9168,9,1,6,8
33,2023/2/17,8414,8,4,1,4
34,2023/2/20,9127,9,1,2,7
35,2023/2/21,0018,0,0,1,8
36,2023/2/22,7517,7,5,1,7
37,2023/2/23,1156,1,1,5,6
38,2023/2/24,3307,3,3,0,7
39,2023/2/27,3107,3,1,0,7
40,2023/2/28,7188,7,1,8,8
41,2023/3/1,4985,4,9,8,5
42,2023/3/2,8568,8,5,6,8
43,2023/3/3,2006,2,0,0,6
44,2023/3/6,9748,9,7,4,8
45,2023/3/7,8386,8,3,8,6
46,2023/3/8,3482,3,4,8,2
47,2023/3/9,2140,2,1,4,0
48,2023/3/10,8682,8,6,8,2
49,2023/3/13,3588,3,5,8,8
50,2023/3/14,7497,7,4,9,7
51,2023/3/15,7052,7,0,5,2
52,2023/3/16,6366,6,3,6,6
53,2023/3/17,2046,2,0,4,6
54,2023/3/20,8344,8,3,4,4
55,2023/3/21,4163,4,1,6,3
56,2023/3/22,0932,0,9,3,2
57,2023/3/23,4439,4,4,3,9
58,2023/3/24,4243,4,2,4,3
59,2023/3/27,1614,1,6,1,4
60,2023/3/28,9526,9,5,2,6
61,2023/3/29,2389,2,3,8,9
62,2023/3/30,3025,3,0,2,5
63,2023/3/31,9631,9,6,3,1
64,2023/4/3,7815,7,8,1,5
65,2023/4/4,8705,8,7,0,5
66,2023/4/5,7211,7,2,1,1
67,2023/4/6,0317,0,3,1,7
68,2023/4/7,1962,1,9,6,2
69,2023/4/10,4855,4,8,5,5
70,2023/4/11,2617,2,6,1,7
71,2023/4/12,6651,6,6,5,1
72,2023/4/13,3959,3,9,5,9
73,2023/4/14,9788,9,7,8,8
74,2023/4/17,8297,8,2,9,7
75,2023/4/18,3466,3,4,6,6
76,2023/4/19,6655,6,6,5,5
77,2023/4/20,0120,0,1,2,0
78,2023/4/21,2371,2,3,7,1
79,2023/4/24,1679,1,6,7,9
80,2023/4/25,6602,6,6,0,2
81,2023/4/26,2613,2,6,1,3
82,2023/4/27,2784,2,7,8,4
83,2023/4/28,6083,6,0,8,3
84,2023/5/1,2806,2,8,0,6
85,2023/5/2,3159,3,1,5,9
86,2023/5/3,5658,5,6,5,8
87,2023/5/4,3084,3,0,8,4
88,2023/5/5,2558,2,5,5,8
89,2023/5/8,2954,2,9,5,4
90,2023/5/9,8977,8,9,7,7
91,2023/5/10,3712,3,7,1,2
92,2023/5/11,0048,0,0,4,8
93,2023/5/12,2494,2,4,9,4
94,2023/5/15,7211,7,2,1,1
95,2023/5/16,5158,5,1,5,8
96,2023/5/17,6987,6,9,8,7
97,2023/5/18,9262,9,2,6,2
98,2023/5/19,8990,8,9,9,0
99,2023/5/22,7143,7,1,4,3
100,2023/5/23,9826,9,8,2,6
101,2023/5/24,4645,4,6,4,5
102,2023/5/25,9918,9,9,1,8
103,2023/5/26,1742,1,7,4,2
104,2023/5/29,0247,0,2,4,7
105,2023/5/30,7906,7,9,0,6
106,2023/5/31,1246,1,2,4,6
107,2023/6/1,7494,7,4,9,4
108,2023/6/2,1880,1,8,8,0
109,2023/6/5,8034,8,0,3,4
110,2023/6/6,1308,1,3,0,8
111,2023/6/7,6843,6,8,4,3
112,2023/6/8,0503,0,5,0,3
113,2023/6/9,2776,2,7,7,6
114,2023/6/12,1360,1,3,6,0
115,2023/6/13,7421,7,4,2,1
116,2023/6/14,9894,9,8,9,4
117,2023/6/15,6776,6,7,7,6
118,2023/6/16,2362,2,3,6,2
119,2023/6/19,0299,0,2,9,9
120,2023/6/20,8127,8,1,2,7
121,2023/6/21,1170,1,1,7,0
122,2023/6/22,4952,4,9,5,2
123,2023/6/23,7452,7,4,5,2
124,2023/6/26,4586,4,5,8,6
125,2023/6/27,5103,5,1,0,3
126,2023/6/28,1899,1,8,9,9
127,2023/6/29,9098,9,0,9,8
128,2023/6/30,2774,2,7,7,4
129,2023/7/3,8164,8,1,6,4
130,2023/7/4,3899,3,8,9,9
131,2023/7/5,8446,8,4,4,6
132,2023/7/6,8092,8,0,9,2
133,2023/7/7,2903,2,9,0,3
134,2023/7/10,2799,2,7,9,9
135,2023/7/11,8766,8,7,6,6
136,2023/7/12,0179,0,1,7,9
137,2023/7/13,4647,4,6,4,7
138,2023/7/14,2175,2,1,7,5
139,2023/7/17,9760,9,7,6,0
140,2023/7/18,5241,5,2,4,1
141,2023/7/19,3416,3,4,1,6
142,2023/7/20,2247,2,2,4,7
143,2023/7/21,9334,9,3,3,4
144,2023/7/24,1121,1,1,2,1
145,2023/7/25,9793,9,7,9,3
146,2023/7/26,5867,5,8,6,7
147,2023/7/27,2882,2,8,8,2
148,2023/7/28,8071,8,0,7,1
149,2023/7/31,8549,8,5,4,9
150,2023/8/1,7169,7,1,6,9
151,2023/8/2,3090,3,0,9,0
152,2023/8/3,3805,3,8,0,5
153,2023/8/4,0369,0,3,6,9
154,2023/8/7,5294,5,2,9,4
155,2023/8/8,9566,9,5,6,6
156,2023/8/9,5069,5,0,6,9
157,2023/8/10,3793,3,7,9,3
158,2023/8/11,1226,1,2,2,6
159,2023/8/14,5897,5,8,9,7
160,2023/8/15,5677,5,6,7,7
161,2023/8/16,5054,5,0,5,4
162,2023/8/17,1697,1,6,9,7
163,2023/8/18,7425,7,4,2,5
164,2023/8/21,5517,5,5,1,7
165,2023/8/22,4537,4,5,3,7
166,2023/8/23,3295,3,2,9,5
167,2023/8/24,7780,7,7,8,0
168,2023/8/25,8597,8,5,9,7
169,2023/8/28,0855,0,8,5,5
170,2023/8/29,1308,1,3,0,8
171,2023/8/30,8393,8,3,9,3
172,2023/8/31,4044,4,0,4,4
173,2023/9/1,5286,5,2,8,6
174,2023/9/4,1434,1,4,3,4
175,2023/9/5,1115,1,1,1,5
176,2023/9/6,2988,2,9,8,8
177,2023/9/7,9398,9,3,9,8
178,2023/9/8,6470,6,4,7,0
179,2023/9/11,1134,1,1,3,4
