No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
1,2022/1/7,7731,7,7,3,1
2,2022/1/10,6768,6,7,6,8
3,2022/1/11,5711,5,7,1,1
4,2022/1/12,1627,1,6,2,7
5,2022/1/13,4892,4,8,9,2
6,2022/1/14,0903,0,9,0,3
7,2022/1/17,2881,2,8,8,1
8,2022/1/18,4199,4,1,9,9
9,2022/1/19,5635,5,6,3,5
10,2022/1/20,9024,9,0,2,4
11,2022/1/21,0855,0,8,5,5
12,2022/1/24,0383,0,3,8,3
13,2022/1/25,4363,4,3,6,3
14,2022/1/26,5046,5,0,4,6
15,2022/1/27,3429,3,4,2,9
16,2022/1/28,2162,2,1,6,2
17,2022/1/31,3052,3,0,5,2
18,2022/2/1,5602,5,6,0,2
19,2022/2/2,3383,3,3,8,3
20,2022/2/3,0007,0,0,0,7
21,2022/2/4,5872,5,8,7,2
22,2022/2/7,9432,9,4,3,2
23,2022/2/8,8377,8,3,7,7
24,2022/2/9,8255,8,2,5,5
25,2022/2/10,8577,8,5,7,7
26,2022/2/11,1292,1,2,9,2
27,2022/2/14,3418,3,4,1,8
28,2022/2/15,9510,9,5,1,0
29,2022/2/16,2334,2,3,3,4
30,2022/2/17,5685,5,6,8,5
31,2022/2/18,5922,5,9,2,2
32,2022/2/21,0010,0,0,1,0
33,2022/2/22,8108,8,1,0,8
34,2022/2/23,5632,5,6,3,2
35,2022/2/24,3289,3,2,8,9
36,2022/2/25,1554,1,5,5,4
37,2022/2/28,4803,4,8,0,3
38,2022/3/1,5279,5,2,7,9
39,2022/3/2,3365,3,3,6,5
40,2022/3/3,1990,1,9,9,0
41,2022/3/4,3591,3,5,9,1
42,2022/3/7,8432,8,4,3,2
43,2022/3/8,8726,8,7,2,6
44,2022/3/9,5692,5,6,9,2
45,2022/3/10,6992,6,9,9,2
46,2022/3/11,6774,6,7,7,4
47,2022/3/14,1763,1,7,6,3
48,2022/3/15,3913,3,9,1,3
49,2022/3/16,7733,7,7,3,3
50,2022/3/17,1346,1,3,4,6
51,2022/3/18,4844,4,8,4,4
52,2022/3/21,4218,4,2,1,8
53,2022/3/22,8984,8,9,8,4
54,2022/3/23,8432,8,4,3,2
55,2022/3/24,1378,1,3,7,8
56,2022/3/25,1188,1,1,8,8
57,2022/3/28,7738,7,7,3,8
58,2022/3/29,4909,4,9,0,9
59,2022/3/30,0036,0,0,3,6
60,2022/3/31,0389,0,3,8,9
61,2022/4/1,7136,7,1,3,6
62,2022/4/4,7000,7,0,0,0
63,2022/4/5,8986,8,9,8,6
64,2022/4/6,9094,9,0,9,4
65,2022/4/7,1858,1,8,5,8
66,2022/4/8,0896,0,8,9,6
67,2022/4/11,7495,7,4,9,5
68,2022/4/12,0479,0,4,7,9
69,2022/4/13,3221,3,2,2,1
70,2022/4/14,7844,7,8,4,4
71,2022/4/15,1026,1,0,2,6
72,2022/4/18,2025,2,0,2,5
73,2022/4/19,6481,6,4,8,1
74,2022/4/20,8635,8,6,3,5
75,2022/4/21,9970,9,9,7,0
76,2022/4/22,7005,7,0,0,5
77,2022/4/25,0966,0,9,6,6
78,2022/4/26,6230,6,2,3,0
79,2022/4/27,6399,6,3,9,9
80,2022/4/28,1629,1,6,2,9
81,2022/4/29,9545,9,5,4,5
82,2022/5/2,0139,0,1,3,9
83,2022/5/3,7113,7,1,1,3
84,2022/5/4,5222,5,2,2,2
85,2022/5/5,8977,8,9,7,7
86,2022/5/6,7127,7,1,2,7
87,2022/5/9,4086,4,0,8,6
88,2022/5/10,9533,9,5,3,3
89,2022/5/11,2804,2,8,0,4
90,2022/5/12,3661,3,6,6,1
91,2022/5/13,6348,6,3,4,8
92,2022/5/16,2304,2,3,0,4
93,2022/5/17,1960,1,9,6,0
94,2022/5/18,9015,9,0,1,5
95,2022/5/19,3272,3,2,7,2
