No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2025/1/6,188,1,8,8
2,2025/1/7,238,2,3,8
3,2025/1/8,462,4,6,2
4,2025/1/9,207,2,0,7
5,2025/1/10,669,6,6,9
6,2025/1/13,265,2,6,5
7,2025/1/14,606,6,0,6
8,2025/1/15,216,2,1,6
9,2025/1/16,100,1,0,0
10,2025/1/17,944,9,4,4
11,2025/1/20,672,6,7,2
12,2025/1/21,496,4,9,6
13,2025/1/22,842,8,4,2
14,2025/1/23,239,2,3,9
15,2025/1/24,557,5,5,7
16,2025/1/27,169,1,6,9
17,2025/1/28,763,7,6,3
18,2025/1/29,314,3,1,4
19,2025/1/30,577,5,7,7
20,2025/1/31,20,0,2,0
21,2025/2/3,168,1,6,8
22,2025/2/4,799,7,9,9
23,2025/2/5,973,9,7,3
24,2025/2/6,33,0,3,3
25,2025/2/7,100,1,0,0
26,2025/2/10,249,2,4,9
27,2025/2/11,086,0,8,6
28,2025/2/12,427,4,2,7
29,2025/2/13,354,3,5,4
30,2025/2/14,720,7,2,0
31,2025/2/17,796,7,9,6
32,2025/2/18,804,8,0,4
33,2025/2/19,157,1,5,7
34,2025/2/20,770,7,7,0
35,2025/2/21,531,5,3,1
36,2025/2/24,423,4,2,3
37,2025/2/25,185,1,8,5
38,2025/2/26,996,9,9,6
39,2025/2/27,372,3,7,2
40,2025/2/28,394,3,9,4
41,2025/3/3,422,4,2,2
42,2025/3/4,638,6,3,8
43,2025/3/5,52,0,5,2
44,2025/3/6,417,4,1,7
45,2025/3/7,128,1,2,8
46,2025/3/10,959,9,5,9
47,2025/3/11,36,0,3,6
48,2025/3/12,312,3,1,2
49,2025/3/13,946,9,4,6
50,2025/3/14,766,7,6,6
51,2025/3/17,187,1,8,7
52,2025/3/18,150,1,5,0
53,2025/3/19,99,0,9,9
54,2025/3/20,320,3,2,0
55,2025/3/21,146,1,4,6
56,2025/3/24,948,9,4,8
57,2025/3/25,990,9,9,0
58,2025/3/26,29,0,2,9
59,2025/3/27,725,7,2,5
60,2025/3/28,730,7,3,0
61,2025/3/31,337,3,3,7
62,2025/4/1,515,5,1,5
63,2025/4/2,964,9,6,4
64,2025/4/3,129,1,2,9
65,2025/4/4,214,2,1,4
66,2025/4/7,623,6,2,3
67,2025/4/8,457,4,5,7
68,2025/4/9,46,0,4,6
69,2025/4/10,467,4,6,7
70,2025/4/11,543,5,4,3
71,2025/4/14,313,3,1,3
72,2025/4/15,574,5,7,4
73,2025/4/16,629,6,2,9
74,2025/4/17,249,2,4,9
75,2025/4/18,440,4,4,0
76,2025/4/21,637,6,3,7
77,2025/4/22,20,0,2,0
78,2025/4/23,896,8,9,6
79,2025/4/24,978,9,7,8
80,2025/4/25,446,4,4,6
81,2025/4/28,718,7,1,8
82,2025/4/29,253,2,5,3
83,2025/4/30,878,8,7,8
84,2025/5/1,752,7,5,2
85,2025/5/2,652,6,5,2
86,2025/5/5,133,1,3,3
87,2025/5/6,157,1,5,7
88,2025/5/7,990,9,9,0
89,2025/5/8,990,9,9,0
90,2025/5/9,190,1,9,0
91,2025/5/12,502,5,0,2
92,2025/5/13,152,1,5,2
93,2025/5/14,122,1,2,2
94,2025/5/15,371,3,7,1
95,2025/5/16,611,6,1,1
96,2025/5/19,870,8,7,0
97,2025/5/20,263,2,6,3
98,2025/5/21,355,3,5,5
99,2025/5/22,680,6,8,0
100,2025/5/23,752,7,5,2
101,2025/5/26,902,9,0,2
102,2025/5/27,238,2,3,8
103,2025/5/28,564,5,6,4
104,2025/5/29,849,8,4,9
105,2025/5/30,549,5,4,9
106,2025/6/2,898,8,9,8
107,2025/6/3,800,8,0,0
108,2025/6/4,819,8,1,9
109,2025/6/5,66,0,6,6
110,2025/6/6,227,2,2,7
111,2025/6/9,490,4,9,0
112,2025/6/10,284,2,8,4
113,2025/6/11,918,9,1,8
114,2025/6/12,535,5,3,5
115,2025/6/13,69,0,6,9
116,2025/6/16,40,0,4,0
117,2025/6/17,482,4,8,2
118,2025/6/18,120,1,2,0
119,2025/6/19,695,6,9,5
