No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2024/1/4,13,0,1,3
2,2024/1/5,491,4,9,1
3,2024/1/8,565,5,6,5
4,2024/1/9,389,3,8,9
5,2024/1/10,460,4,6,0
6,2024/1/11,341,3,4,1
7,2024/1/12,919,9,1,9
8,2024/1/15,833,8,3,3
9,2024/1/16,780,7,8,0
10,2024/1/17,320,3,2,0
11,2024/1/18,604,6,0,4
12,2024/1/19,91,0,9,1
13,2024/1/22,385,3,8,5
14,2024/1/23,715,7,1,5
15,2024/1/24,725,7,2,5
16,2024/1/25,796,7,9,6
17,2024/1/26,101,1,0,1
18,2024/1/29,419,4,1,9
19,2024/1/30,802,8,0,2
20,2024/1/31,723,7,2,3
21,2024/2/1,310,3,1,0
22,2024/2/2,546,5,4,6
23,2024/2/3,515,5,1,5
24,2024/2/5,458,4,5,8
25,2024/2/6,945,9,4,5
26,2024/2/7,791,7,9,1
27,2024/2/8,948,9,4,8
28,2024/2/9,706,7,0,6
29,2024/2/12,916,9,1,6
30,2024/2/13,55,0,5,5
31,2024/2/14,692,6,9,2
32,2024/2/15,963,9,6,3
33,2024/2/16,394,3,9,4
34,2024/2/19,920,9,2,0
35,2024/2/20,541,5,4,1
36,2024/2/21,105,1,0,5
37,2024/2/22,633,6,3,3
38,2024/2/23,834,8,3,4
39,2024/2/26,834,8,3,4
40,2024/2/27,358,3,5,8
41,2024/2/28,983,9,8,3
42,2024/2/29,414,4,1,4
43,2024/3/1,367,3,6,7
44,2024/3/4,17,0,1,7
45,2024/3/5,566,5,6,6
46,2024/3/6,395,3,9,5
47,2024/3/7,956,9,5,6
48,2024/3/8,810,8,1,0
49,2024/3/11,366,3,6,6
50,2024/3/12,494,4,9,4
51,2024/3/13,388,3,8,8
52,2024/3/14,833,8,3,3
53,2024/3/15,957,9,5,7
54,2024/3/18,378,3,7,8
55,2024/3/19,991,9,9,1
56,2024/3/20,978,9,7,8
57,2024/3/21,495,4,9,5
58,2024/3/22,59,0,5,9
59,2024/3/25,391,3,9,1
60,2024/3/26,504,5,0,4
61,2024/3/27,346,3,4,6
62,2024/3/28,578,5,7,8
63,2024/3/29,150,1,5,0
64,2024/4/1,603,6,0,3
65,2024/4/2,440,4,4,0
66,2024/4/3,992,9,9,2
67,2024/4/4,965,9,6,5
68,2024/4/5,693,6,9,3
69,2024/4/8,881,8,8,1
70,2024/4/9,18,0,1,8
71,2024/4/10,668,6,6,8
72,2024/4/11,627,6,2,7
73,2024/4/12,490,4,9,0
74,2024/4/15,89,0,8,9
75,2024/4/16,81,0,8,1
76,2024/4/17,180,1,8,0
77,2024/4/18,736,7,3,6
78,2024/4/19,910,9,1,0
79,2024/4/22,941,9,4,1
80,2024/4/23,806,8,0,6
81,2024/4/24,975,9,7,5
82,2024/4/25,981,9,8,1
83,2024/4/26,279,2,7,9
84,2024/4/29,898,8,9,8
85,2024/4/30,20,0,2,0
86,2024/5/1,907,9,0,7
87,2024/5/2,313,3,1,3
88,2024/5/3,666,6,6,6
89,2024/5/6,827,8,2,7
90,2024/5/7,282,2,8,2
91,2024/5/8,412,4,1,2
92,2024/5/9,271,2,7,1
93,2024/5/10,473,4,7,3
94,2024/5/13,186,1,8,6
95,2024/5/14,772,7,7,2
96,2024/5/15,219,2,1,9
97,2024/5/16,943,9,4,3
98,2024/5/17,872,8,7,2
99,2024/5/20,156,1,5,6
100,2024/5/21,526,5,2,6
101,2024/5/22,719,7,1,9
102,2024/5/23,268,2,6,8
103,2024/5/24,267,2,6,7
104,2024/5/27,161,1,6,1
105,2024/5/28,564,5,6,4
106,2024/5/29,419,4,1,9
107,2024/5/30,933,9,3,3
108,2024/5/31,904,9,0,4
109,2024/6/3,199,1,9,9
110,2024/6/4,478,4,7,8
111,2024/6/5,712,7,1,2
112,2024/6/6,781,7,8,1
113,2024/6/7,455,4,5,5
114,2024/6/10,760,7,6,0
115,2024/6/11,529,5,2,9
116,2024/6/12,788,7,8,8
117,2024/6/13,435,4,3,5
118,2024/6/14,632,6,3,2
119,2024/6/17,421,4,2,1
120,2024/6/18,119,1,1,9
121,2024/6/19,665,6,6,5
122,2024/6/20,17,0,1,7
123,2024/6/21,668,6,6,8
124,2024/6/24,484,4,8,4
125,2024/6/25,18,0,1,8
126,2024/6/26,426,4,2,6
127,2024/6/27,280,2,8,0
128,2024/6/28,364,3,6,4
129,2024/7/1,724,7,2,4
130,2024/7/2,732,7,3,2
131,2024/7/3,94,0,9,4
132,2024/7/4,575,5,7,5
133,2024/7/5,993,9,9,3
134,2024/7/8,810,8,1,0
135,2024/7/9,273,2,7,3
136,2024/7/10,224,2,2,4
137,2024/7/11,335,3,3,5
138,2024/7/12,475,4,7,5
139,2024/7/15,98,0,9,8
140,2024/7/16,884,8,8,4
141,2024/7/17,100,1,0,0
142,2024/7/18,864,8,6,4
143,2024/7/19,86,0,8,6
144,2024/7/22,937,9,3,7
145,2024/7/23,620,6,2,0
146,2024/7/24,643,6,4,3
147,2024/7/25,503,5,0,3
148,2024/7/26,498,4,9,8
149,2024/7/29,853,8,5,3
150,2024/7/30,343,3,4,3
151,2024/7/31,392,3,9,2
152,2024/8/1,98,0,9,8
153,2024/8/2,127,1,2,7
153,2024/8/5,280,2,8,0
154,2024/8/6,802,8,0,2
155,2024/8/7,862,8,6,2
156,2024/8/8,36,0,3,6
157,2024/8/9,270,2,7,0
158,2024/8/12,580,5,8,0
159,2024/8/13,701,7,0,1
160,2024/8/14,51,0,5,1
161,2024/8/15,337,3,3,7
162,2024/8/16,322,3,2,2
163,2024/8/19,684,6,8,4
164,2024/8/20,772,7,7,2
165,2024/8/21,803,8,0,3
166,2024/8/22,801,8,0,1
167,2024/8/23,67,0,6,7
168,2024/8/26,900,9,0,0
169,2024/8/27,376,3,7,6
170,2024/8/28,656,6,5,6
171,2024/8/29,355,3,5,5
172,2024/8/30,864,8,6,4
173,2024/9/2,398,3,9,8   
174,2024/9/3,216,2,1,6
175,2024/9/4,385,3,8,5
176,2024/9/5,666,6,6,6
177,2024/9/6,827,8,2,7
178,2024/9/9,500,5,0,0
179,2024/9/10,811,8,1,1
180,2024/9/11,508,5,0,8
181,2024/9/12,527,5,2,7
182,2024/9/13,215,2,1,5
183,2024/9/16,319,3,1,9
184,2024/9/17,669,6,6,9
185,2024/9/18,430,4,3,0
186,2024/9/19,297,2,9,7
187,2024/9/20,776,7,7,6
188,2024/9/23,808,8,0,8
189,2024/9/24,844,8,4,4
190,2024/9/25,835,8,3,5
191,2024/9/26,841,8,4,1
192,2024/9/27,171,1,7,1
193,2024/9/30,549,5,4,9
194,2024/10/1,484,4,8,4
195,2024/10/2,190,1,9,0
196,2024/10/3,097,0,9,7
197,2024/10/4,610,6,1,0
198,2024/10/7,477,4,7,7
199,2024/10/8,14,0,1,4
200,2024/10/9,113,1,1,3
201,2024/10/10,264,2,6,4
202,2024/10/11,751,7,5,1
203,2024/10/14,202,2,0,2
204,2024/10/15,582,5,8,2
205,2024/10/16,983,9,8,3
206,2024/10/17,546,5,4,6
207,2024/10/18,411,4,1,1
208,2024/10/21,934,9,3,4
209,2024/10/22,731,7,3,1
210,2024/10/23,691,6,9,1
211,2024/10/24,21,0,2,1
212,2024/10/25,783,7,8,3
213,2024/10/28,830,8,3,0
214,2024/10/29,161,1,6,1
215,2024/10/30,60,0,6,0
216,2024/10/31,133,1,3,3
217,2024/11/1,241,2,4,1
218,2024/11/4,187,1,8,7
219,2024/11/5,290,2,9,0
220,2024/11/6,359,3,5,9
221,2024/11/7,395,3,9,5
222,2024/11/8,984,9,8,4
223,2024/11/11,230,2,3,0
224,2024/11/12,518,5,1,8
225,2024/11/13,91,0,9,1
226,2024/11/14,530,5,3,0
227,2024/11/15,91,0,9,1
228,2024/11/18,35,0,3,5
229,2024/11/19,956,9,5,6
230,2024/11/20,406,4,0,6
231,2024/11/21,138,1,3,8
232,2024/11/22,147,1,4,7
233,2024/11/25,566,5,6,6
234,2024/11/26,814,8,1,4  
235,2024/11/27,638,6,3,8
236,2024/11/28,878,8,7,8
237,2024/11/29,656,6,5,6
238,2024/12/2,175,1,7,5
239,2024/12/3,340,3,4,0
240,2024/12/4,517,5,1,7
