No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2020/1/6,887,8,8,7
2,2020/1/7,109,1,0,9
3,2020/1/8,527,5,2,7
4,2020/1/9,409,4,0,9
5,2020/1/10,785,7,8,5
6,2020/1/13,705,7,0,5
7,2020/1/14,428,4,2,8
8,2020/1/15,565,5,6,5
9,2020/1/16,592,5,9,2
10,2020/1/17,626,6,2,6
11,2020/1/20,485,4,8,5
12,2020/1/21,69,0,6,9
13,2020/1/22,444,4,4,4
14,2020/1/23,366,3,6,6
15,2020/1/24,629,6,2,9
16,2020/1/27,345,3,4,5
17,2020/1/28,2,0,0,2
18,2020/1/29,312,3,1,2
19,2020/1/30,472,4,7,2
20,2020/1/31,436,4,3,6
21,2020/2/3,272,2,7,2
22,2020/2/4,514,5,1,4
23,2020/2/5,108,1,0,8
24,2020/2/6,577,5,7,7
25,2020/2/7,433,4,3,3
26,2020/2/10,516,5,1,6
27,2020/2/11,720,7,2,0
28,2020/2/12,503,5,0,3
29,2020/2/13,123,1,2,3
30,2020/2/14,6,0,0,6
31,2020/2/17,5,0,0,5
32,2020/2/18,386,3,8,6
33,2020/2/19,461,4,6,1
34,2020/2/20,518,5,1,8
35,2020/2/21,206,2,0,6
36,2020/2/24,996,9,9,6
37,2020/2/25,445,4,4,5
38,2020/2/26,528,5,2,8
39,2020/2/27,907,9,0,7
40,2020/2/28,780,7,8,0
41,2020/3/2,843,8,4,3
42,2020/3/3,178,1,7,8
43,2020/3/4,452,4,5,2
44,2020/3/5,73,0,7,3
45,2020/3/6,162,1,6,2
46,2020/3/9,921,9,2,1
47,2020/3/10,372,3,7,2
48,2020/3/11,168,1,6,8
49,2020/3/12,233,2,3,3
50,2020/3/13,504,5,0,4
51,2020/3/16,983,9,8,3
52,2020/3/17,679,6,7,9
53,2020/3/18,738,7,3,8
54,2020/3/19,376,3,7,6
55,2020/3/20,397,3,9,7
56,2020/3/23,63,0,6,3
57,2020/3/24,477,4,7,7
58,2020/3/25,509,5,0,9
59,2020/3/26,930,9,3,0
60,2020/3/27,938,9,3,8
61,2020/3/30,574,5,7,4
62,2020/3/31,724,7,2,4
63,2020/4/1,176,1,7,6
64,2020/4/2,10,0,1,0
65,2020/4/3,802,8,0,2
66,2020/4/6,602,6,0,2
67,2020/4/7,221,2,2,1
68,2020/4/8,925,9,2,5
69,2020/4/9,505,5,0,5
70,2020/4/10,182,1,8,2
71,2020/4/13,684,6,8,4
72,2020/4/14,909,9,0,9
73,2020/4/15,962,9,6,2
74,2020/4/16,10,0,1,0
75,2020/4/17,391,3,9,1
76,2020/4/20,950,9,5,0
77,2020/4/21,889,8,8,9
78,2020/4/22,489,4,8,9
79,2020/4/23,804,8,0,4
80,2020/4/24,654,6,5,4
81,2020/4/27,867,8,6,7
82,2020/4/28,843,8,4,3
83,2020/4/29,457,4,5,7
84,2020/4/30,54,0,5,4
85,2020/5/1,815,8,1,5
86,2020/5/4,534,5,3,4
87,2020/5/5,809,8,0,9
88,2020/5/6,348,3,4,8
89,2020/5/7,33,0,3,3
90,2020/5/8,278,2,7,8
91,2020/5/11,837,8,3,7
92,2020/5/12,996,9,9,6
93,2020/5/13,860,8,6,0
94,2020/5/14,700,7,0,0
95,2020/5/15,325,3,2,5
96,2020/5/18,803,8,0,3
97,2020/5/19,162,1,6,2
98,2020/5/20,729,7,2,9
99,2020/5/21,684,6,8,4
100,2020/5/22,406,4,0,6
101,2020/5/25,663,6,6,3
102,2020/5/26,178,1,7,8
103,2020/5/27,551,5,5,1
104,2020/5/28,343,3,4,3
105,2020/5/29,892,8,9,2
106,2020/6/1,536,5,3,6
107,2020/6/2,202,2,0,2
108,2020/6/3,697,6,9,7
109,2020/6/4,432,4,3,2
110,2020/6/5,863,8,6,3
111,2020/6/8,507,5,0,7
112,2020/6/9,744,7,4,4
113,2020/6/10,774,7,7,4
114,2020/6/11,383,3,8,3
115,2020/6/12,78,0,7,8
116,2020/6/15,712,7,1,2
117,2020/6/16,826,8,2,6
118,2020/6/17,153,1,5,3
119,2020/6/18,365,3,6,5
120,2020/6/19,734,7,3,4
121,2020/6/22,197,1,9,7
122,2020/6/23,988,9,8,8
123,2020/6/24,550,5,5,0
124,2020/6/25,981,9,8,1
125,2020/6/26,709,7,0,9
126,2020/6/29,801,8,0,1
127,2020/6/30,245,2,4,5
128,2020/7/1,358,3,5,8
129,2020/7/2,510,5,1,0
130,2020/7/3,464,4,6,4
131,2020/7/6,337,3,3,7
132,2020/7/7,112,1,1,2
133,2020/7/8,24,0,2,4
134,2020/7/9,339,3,3,9
135,2020/7/10,937,9,3,7
136,2020/7/13,182,1,8,2
137,2020/7/14,738,7,3,8
138,2020/7/15,697,6,9,7
139,2020/7/16,699,6,9,9
140,2020/7/17,613,6,1,3
141,2020/7/20,350,3,5,0
142,2020/7/21,378,3,7,8
143,2020/7/22,637,6,3,7
144,2020/7/23,97,0,9,7
145,2020/7/24,224,2,2,4
146,2020/7/27,495,4,9,5
147,2020/7/28,8,0,0,8
148,2020/7/29,902,9,0,2
149,2020/7/30,555,5,5,5
150,2020/7/31,130,1,3,0
151,2020/8/3,9,0,0,9
152,2020/8/4,113,1,1,3
153,2020/8/5,229,2,2,9
154,2020/8/6,796,7,9,6
155,2020/8/7,332,3,3,2
156,2020/8/10,681,6,8,1
157,2020/8/11,871,8,7,1
158,2020/8/12,640,6,4,0
159,2020/8/13,998,9,9,8
160,2020/8/14,132,1,3,2
161,2020/8/17,946,9,4,6
162,2020/8/18,858,8,5,8
163,2020/8/19,884,8,8,4
164,2020/8/20,611,6,1,1
165,2020/8/21,529,5,2,9
166,2020/8/24,317,3,1,7
167,2020/8/25,226,2,2,6
168,2020/8/26,687,6,8,7
169,2020/8/27,267,2,6,7
170,2020/8/28,930,9,3,0
171,2020/8/31,443,4,4,3
172,2020/9/1,838,8,3,8
173,2020/9/2,995,9,9,5
174,2020/9/3,716,7,1,6
175,2020/9/4,445,4,4,5
176,2020/9/7,793,7,9,3
177,2020/9/8,948,9,4,8
178,2020/9/9,461,4,6,1
179,2020/9/10,899,8,9,9
180,2020/9/11,195,1,9,5
181,2020/9/14,46,0,4,6
182,2020/9/15,848,8,4,8
183,2020/9/16,927,9,2,7
184,2020/9/17,376,3,7,6
185,2020/9/18,432,4,3,2
186,2020/9/21,240,2,4,0
187,2020/9/22,208,2,0,8
188,2020/9/23,365,3,6,5
189,2020/9/24,660,6,6,0
190,2020/9/25,40,0,4,0
191,2020/9/28,932,9,3,2
192,2020/9/29,969,9,6,9
193,2020/9/30,130,1,3,0
194,2020/10/1,659,6,5,9
195,2020/10/2,40,0,4,0
196,2020/10/5,160,1,6,0
197,2020/10/6,472,4,7,2
198,2020/10/7,944,9,4,4
199,2020/10/8,277,2,7,7
200,2020/10/9,820,8,2,0
201,2020/10/12,979,9,7,9
202,2020/10/13,300,3,0,0
203,2020/10/14,424,4,2,4
204,2020/10/15,650,6,5,0
205,2020/10/16,680,6,8,0
206,2020/10/19,829,8,2,9
207,2020/10/20,963,9,6,3
208,2020/10/21,777,7,7,7
209,2020/10/22,118,1,1,8
210,2020/10/23,846,8,4,6
211,2020/10/26,937,9,3,7
212,2020/10/27,129,1,2,9
213,2020/10/28,862,8,6,2
214,2020/10/29,481,4,8,1
215,2020/10/30,458,4,5,8
216,2020/11/2,761,7,6,1
217,2020/11/3,210,2,1,0
218,2020/11/4,322,3,2,2
219,2020/11/5,993,9,9,3
220,2020/11/6,415,4,1,5
221,2020/11/9,174,1,7,4
222,2020/11/10,242,2,4,2
223,2020/11/11,287,2,8,7
224,2020/11/12,475,4,7,5
225,2020/11/13,922,9,2,2
226,2020/11/16,842,8,4,2
227,2020/11/17,136,1,3,6
228,2020/11/18,346,3,4,6
229,2020/11/19,0,0,0,0
230,2020/11/20,321,3,2,1
231,2020/11/23,14,0,1,4
232,2020/11/24,998,9,9,8
233,2020/11/25,945,9,4,5
234,2020/11/26,171,1,7,1
235,2020/11/27,282,2,8,2
236,2020/11/30,571,5,7,1
237,2020/12/1,659,6,5,9
238,2020/12/2,729,7,2,9
239,2020/12/3,275,2,7,5
240,2020/12/4,201,2,0,1
241,2020/12/7,314,3,1,4
242,2020/12/8,898,8,9,8
243,2020/12/9,693,6,9,3
244,2020/12/10,823,8,2,3
245,2020/12/11,831,8,3,1
246,2020/12/14,688,6,8,8
247,2020/12/15,377,3,7,7
248,2020/12/16,364,3,6,4
249,2020/12/17,711,7,1,1
250,2020/12/18,17,0,1,7
251,2020/12/21,421,4,2,1
252,2020/12/22,689,6,8,9
253,2020/12/23,485,4,8,5
254,2020/12/24,316,3,1,6
255,2020/12/25,588,5,8,8
256,2020/12/28,925,9,2,5
257,2020/12/29,439,4,3,9
258,2020/12/30,13,0,1,3
