No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2021/1/4,489,4,8,9
2,2021/1/5,715,7,1,5
3,2021/1/6,325,3,2,5
4,2021/1/7,762,7,6,2
5,2021/1/8,229,2,2,9
6,2021/1/11,51,0,5,1
7,2021/1/12,197,1,9,7
8,2021/1/13,517,5,1,7
9,2021/1/14,53,0,5,3
10,2021/1/15,740,7,4,0
11,2021/1/18,240,2,4,0
12,2021/1/19,355,3,5,5
13,2021/1/20,294,2,9,4
14,2021/1/21,923,9,2,3
15,2021/1/22,635,6,3,5
16,2021/1/25,196,1,9,6
17,2021/1/26,240,2,4,0
18,2021/1/27,602,6,0,2
19,2021/1/28,951,9,5,1
20,2021/1/29,698,6,9,8
21,2021/2/1,514,5,1,4
22,2021/2/2,509,5,0,9
23,2021/2/3,398,3,9,8
24,2021/2/4,704,7,0,4
25,2021/2/5,281,2,8,1
26,2021/2/8,357,3,5,7
27,2021/2/9,486,4,8,6
28,2021/2/10,843,8,4,3
29,2021/2/11,641,6,4,1
30,2021/2/12,0,0,0,0
31,2021/2/15,744,7,4,4
32,2021/2/16,785,7,8,5
33,2021/2/17,3,0,0,3
34,2021/2/18,912,9,1,2
35,2021/2/19,154,1,5,4
36,2021/2/22,179,1,7,9
37,2021/2/23,862,8,6,2
38,2021/2/24,385,3,8,5
39,2021/2/25,997,9,9,7
40,2021/2/26,298,2,9,8
41,2021/3/1,246,2,4,6
42,2021/3/2,934,9,3,4
43,2021/3/3,291,2,9,1
44,2021/3/4,931,9,3,1
45,2021/3/5,831,8,3,1
46,2021/3/8,97,0,9,7
47,2021/3/9,807,8,0,7
48,2021/3/10,566,5,6,6
49,2021/3/11,767,7,6,7
50,2021/3/12,759,7,5,9
51,2021/3/15,351,3,5,1
52,2021/3/16,642,6,4,2
53,2021/3/17,881,8,8,1
54,2021/3/18,347,3,4,7
55,2021/3/19,989,9,8,9
56,2021/3/22,48,0,4,8
57,2021/3/23,369,3,6,9
58,2021/3/24,876,8,7,6
59,2021/3/25,548,5,4,8
60,2021/3/26,20,0,2,0
61,2021/3/29,574,5,7,4
62,2021/3/30,526,5,2,6
63,2021/3/31,985,9,8,5
64,2021/4/1,655,6,5,5
65,2021/4/2,933,9,3,3
66,2021/4/5,415,4,1,5
67,2021/4/6,53,0,5,3
68,2021/4/7,742,7,4,2
69,2021/4/8,611,6,1,1
70,2021/4/9,684,6,8,4
71,2021/4/12,178,1,7,8
72,2021/4/13,136,1,3,6
73,2021/4/14,680,6,8,0
74,2021/4/15,16,0,1,6
75,2021/4/16,623,6,2,3
76,2021/4/19,750,7,5,0
77,2021/4/20,526,5,2,6
78,2021/4/21,258,2,5,8
79,2021/4/22,148,1,4,8
80,2021/4/23,762,7,6,2
81,2021/4/26,109,1,0,9
82,2021/4/27,53,0,5,3
83,2021/4/28,537,5,3,7
84,2021/4/29,755,7,5,5
85,2021/4/30,50,0,5,0
86,2021/5/3,971,9,7,1
87,2021/5/4,465,4,6,5
88,2021/5/5,782,7,8,2
89,2021/5/6,475,4,7,5
90,2021/5/7,68,0,6,8
91,2021/5/10,860,8,6,0
92,2021/5/11,753,7,5,3
93,2021/5/12,265,2,6,5
94,2021/5/13,958,9,5,8
95,2021/5/14,863,8,6,3
96,2021/5/17,615,6,1,5
97,2021/5/18,270,2,7,0
98,2021/5/19,855,8,5,5
99,2021/5/20,130,1,3,0
100,2021/5/21,151,1,5,1
101,2021/5/24,52,0,5,2
102,2021/5/25,369,3,6,9
103,2021/5/26,576,5,7,6
104,2021/5/27,635,6,3,5
105,2021/5/28,282,2,8,2
106,2021/5/31,493,4,9,3
107,2021/6/1,117,1,1,7
108,2021/6/2,948,9,4,8
109,2021/6/3,633,6,3,3
110,2021/6/4,227,2,2,7
111,2021/6/7,118,1,1,8
112,2021/6/8,841,8,4,1
113,2021/6/9,736,7,3,6
114,2021/6/10,746,7,4,6
115,2021/6/11,695,6,9,5
116,2021/6/14,901,9,0,1
117,2021/6/15,108,1,0,8
118,2021/6/16,553,5,5,3
119,2021/6/17,89,0,8,9
120,2021/6/18,752,7,5,2
121,2021/6/21,367,3,6,7
122,2021/6/22,400,4,0,0
123,2021/6/23,836,8,3,6
124,2021/6/24,153,1,5,3
125,2021/6/25,93,0,9,3
126,2021/6/28,479,4,7,9
127,2021/6/29,736,7,3,6
128,2021/6/30,389,3,8,9
129,2021/7/1,472,4,7,2
130,2021/7/2,759,7,5,9
131,2021/7/5,591,5,9,1
132,2021/7/6,641,6,4,1
133,2021/7/7,888,8,8,8
134,2021/7/8,758,7,5,8
135,2021/7/9,292,2,9,2
136,2021/7/12,768,7,6,8
137,2021/7/13,293,2,9,3
138,2021/7/14,740,7,4,0
139,2021/7/15,920,9,2,0
140,2021/7/16,90,0,9,0
141,2021/7/19,415,4,1,5
142,2021/7/20,900,9,0,0
143,2021/7/21,803,8,0,3
144,2021/7/22,764,7,6,4
145,2021/7/23,378,3,7,8
146,2021/7/26,388,3,8,8
147,2021/7/27,556,5,5,6
148,2021/7/28,614,6,1,4
149,2021/7/29,764,7,6,4
150,2021/7/30,704,7,0,4
